index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.625,207.957,-85.014,-389.682,-85.014,0.00,906.0,,,0.00,0.00,0.00
1,1.62,1.615,206.334,-85.016,-389.760,-85.016,-0.16,772.5,,,0.00,0.00,0.00
2,3.24,1.597,204.722,-85.011,-389.840,-85.011,0.33,816.8,,,0.00,0.00,0.00
3,4.84,1.574,203.128,-85.006,-389.928,-85.006,0.33,828.9,,,0.00,0.00,0.00
4,6.41,1.565,201.555,-85.001,-390.001,-85.001,0.31,647.2,,,0.00,0.00,0.00
5,7.98,1.508,199.993,-84.996,-390.085,-84.996,0.31,435.1,,,0.00,0.00,0.00
6,9.48,1.520,198.487,-84.984,-390.167,-84.984,0.82,443.3,,,0.00,0.00,0.00
7,11.00,1.512,196.970,-84.980,-390.253,-84.980,0.29,557.1,,,0.00,0.00,0.00
8,12.52,1.508,195.461,-84.975,-390.331,-84.975,0.28,667.4,,,0.00,0.00,0.00
9,14.02,1.507,193.957,-84.971,-390.430,-84.971,0.27,700.7,,,0.00,0.00,0.00
10,15.53,1.507,192.454,-84.967,-390.522,-84.967,0.26,700.0,,,0.00,0.00,0.00
11,17.04,1.508,190.950,-84.963,-390.616,-84.963,0.26,801.2,,,0.00,0.00,0.00
12,18.55,1.510,189.445,-84.951,-390.713,-84.951,0.79,925.9,,,0.00,0.00,0.00
13,20.05,1.510,187.939,-84.947,-390.812,-84.947,0.26,1027.6,,,0.00,0.00,0.00
14,21.57,1.511,186.432,-84.943,-390.913,-84.943,0.27,1030.6,,,0.00,0.00,0.00
15,23.08,1.524,184.925,-84.939,-391.016,-84.939,0.28,1025.3,,,0.00,0.00,0.00
16,24.60,1.512,183.405,-84.943,-391.123,-84.943,-0.24,974.1,,,0.00,0.00,0.00
17,26.11,1.512,181.897,-84.938,-391.231,-84.938,0.30,988.6,,,0.00,0.00,0.00
18,27.62,1.512,180.390,-84.933,-391.341,-84.933,0.32,973.6,,,0.00,0.00,0.00
19,29.14,1.512,178.882,-84.928,-391.454,-84.928,0.34,972.8,,,0.00,0.00,0.00
20,30.65,1.512,177.375,-84.923,-391.569,-84.923,0.35,966.5,,,0.00,0.00,0.00
21,32.16,1.512,175.868,-84.917,-391.686,-84.917,0.37,947.7,,,0.00,0.00,0.00
22,33.67,1.512,174.360,-84.912,-391.806,-84.912,0.38,951.3,,,0.00,0.00,0.00
23,35.19,1.512,172.853,-84.906,-391.928,-84.906,0.39,1019.5,,,0.00,0.00,0.00
24,36.70,4.630,171.347,-84.900,-392.053,-84.900,0.13,1051.6,,,0.00,0.00,0.00
25,41.33,1.575,166.734,-84.881,-392.451,-84.881,1.21,1103.5,,,0.00,0.00,0.00
26,42.90,1.575,165.166,-84.871,-392.591,-84.871,0.64,1153.6,,,0.00,0.00,0.00
27,44.48,1.575,163.598,-84.862,-392.733,-84.862,0.54,1182.3,,,0.00,0.00,0.00
28,46.05,1.574,162.030,-84.852,-392.877,-84.852,0.67,1204.9,,,0.00,0.00,0.00
29,47.63,1.574,160.463,-84.840,-393.022,-84.840,0.74,1202.2,,,0.00,0.00,0.00
30,49.20,1.574,158.895,-84.828,-393.170,-84.828,0.74,1147.0,,,0.00,0.00,0.00
31,50.78,1.574,157.329,-84.817,-393.320,-84.817,0.69,1110.7,,,0.00,0.00,0.00
32,52.35,1.574,155.762,-84.807,-393.472,-84.807,0.65,1068.2,,,0.00,0.00,0.00
33,53.92,1.574,154.196,-84.797,-393.627,-84.797,0.61,1014.5,,,0.00,0.00,0.00
34,55.50,1.574,152.630,-84.788,-393.784,-84.788,0.62,997.4,,,0.00,0.00,0.00
35,57.07,1.574,151.065,-84.779,-393.943,-84.779,0.58,997.6,,,0.00,0.00,0.00
36,58.64,1.574,149.500,-84.769,-394.105,-84.769,0.63,988.6,,,0.00,0.00,0.00
37,60.22,1.573,147.935,-84.759,-394.270,-84.759,0.61,1001.3,,,0.00,0.00,0.00
38,61.79,1.573,146.371,-84.748,-394.437,-84.748,0.71,1005.4,,,0.00,0.00,0.00
39,63.37,1.573,144.807,-84.736,-394.606,-84.736,0.74,1012.4,,,0.00,0.00,0.00
40,64.94,1.573,143.244,-84.728,-394.778,-84.728,0.55,1006.3,,,0.00,0.00,0.00
41,66.51,1.573,141.681,-84.716,-394.953,-84.716,0.76,1002.9,,,0.00,0.00,0.00
42,68.08,1.573,140.118,-84.707,-395.129,-84.707,0.56,1004.7,,,0.00,0.00,0.00
43,69.66,1.573,138.556,-84.696,-395.308,-84.696,0.69,1009.0,,,0.00,0.00,0.00
44,71.23,1.573,136.993,-84.686,-395.490,-84.686,0.64,1007.8,,,0.00,0.00,0.00
45,72.80,1.573,135.432,-84.676,-395.674,-84.676,0.61,1019.9,,,0.00,0.00,0.00
46,74.38,1.573,133.870,-84.666,-395.861,-84.666,0.67,1030.8,,,0.00,0.00,0.00
47,75.95,1.573,132.309,-84.657,-396.050,-84.657,0.58,1075.2,,,0.00,0.00,0.00
48,77.52,1.573,130.748,-84.647,-396.241,-84.647,0.64,1110.1,,,0.00,0.00,0.00
49,79.10,1.573,129.188,-84.637,-396.435,-84.637,0.60,1147.1,,,0.00,0.00,0.00
50,80.67,1.573,127.628,-84.627,-396.631,-84.627,0.63,1201.3,,,0.00,0.00,0.00
51,82.24,1.573,126.068,-84.618,-396.829,-84.618,0.62,1227.5,,,0.00,0.00,0.00
52,83.81,1.572,124.508,-84.607,-397.028,-84.607,0.68,1287.2,,,0.00,0.00,0.00
53,85.39,1.572,122.949,-84.597,-397.230,-84.597,0.66,1359.9,,,0.00,0.00,0.00
54,86.96,1.572,121.391,-84.585,-397.433,-84.585,0.71,1390.9,,,0.00,0.00,0.00
55,88.53,1.572,119.832,-84.575,-397.639,-84.575,0.66,1492.9,,,0.00,0.00,0.00
56,90.10,1.572,118.274,-84.564,-397.845,-84.564,0.70,1492.7,,,0.00,0.00,0.00
57,91.67,1.572,116.716,-84.556,-398.054,-84.556,0.51,1528.7,,,0.00,0.00,0.00
58,93.25,1.572,115.159,-84.544,-398.264,-84.544,0.77,1523.8,,,0.00,0.00,0.00
59,94.82,1.571,113.602,-84.537,-398.475,-84.537,0.43,1503.2,,,0.00,0.00,0.00
60,96.39,1.571,112.045,-84.523,-398.687,-84.523,0.87,1520.9,,,0.00,0.00,0.00
61,97.96,1.571,110.489,-84.514,-398.902,-84.514,0.60,1480.6,,,0.00,0.00,0.00
62,99.53,1.571,108.933,-84.504,-399.118,-84.504,0.64,1480.6,,,0.00,0.00,0.00
