index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.681,-279.595,5.510,292.233,5.510,0.00,2000.0,,,0.00,0.00,0.00
1,1.68,1.668,-279.497,5.418,290.558,5.418,-5.51,2000.0,,,0.00,0.00,0.00
2,3.35,1.643,-279.401,5.326,288.896,5.326,-5.60,2000.0,,,0.00,0.00,0.00
3,4.99,1.610,-279.307,5.234,287.258,5.234,-5.68,2000.0,,,0.00,0.00,0.00
4,6.60,1.575,-279.215,5.144,285.653,5.144,-5.74,2000.0,,,0.00,0.00,0.00
5,8.18,1.542,-279.126,5.055,284.084,5.055,-5.78,2000.0,,,0.00,0.00,0.00
6,9.72,1.514,-279.038,4.967,282.548,4.967,-5.80,2000.0,,,0.00,0.00,0.00
7,11.23,1.494,-278.952,4.880,281.038,4.880,-5.82,2000.0,,,0.00,0.00,0.00
8,12.73,1.480,-278.867,4.794,279.550,4.794,-5.84,2000.0,,,0.00,0.00,0.00
9,14.21,1.472,-278.782,4.708,278.074,4.708,-5.85,2000.0,,,0.00,0.00,0.00
10,15.68,1.469,-278.698,4.621,276.607,4.621,-5.87,2000.0,,,0.00,0.00,0.00
11,17.15,1.467,-278.614,4.535,275.144,4.535,-5.89,2000.0,,,0.00,0.00,0.00
12,18.62,1.468,-278.530,4.448,273.681,4.448,-5.92,2000.0,,,0.00,0.00,0.00
13,20.08,1.470,-278.445,4.361,272.218,4.361,-5.94,2000.0,,,0.00,0.00,0.00
14,21.55,1.472,-278.361,4.273,270.754,4.273,-5.97,2000.0,,,0.00,0.00,0.00
15,23.02,1.474,-278.275,4.185,269.288,4.185,-5.99,2000.0,,,0.00,0.00,0.00
16,24.50,1.476,-278.190,4.096,267.819,4.096,-6.01,2000.0,,,0.00,0.00,0.00
17,25.97,1.477,-278.104,4.007,266.349,4.007,-6.03,2000.0,,,0.00,0.00,0.00
18,27.45,1.478,-278.018,3.918,264.877,3.918,-6.05,2000.0,,,0.00,0.00,0.00
19,28.93,1.478,-277.931,3.828,263.405,3.828,-6.06,2000.0,,,0.00,0.00,0.00
20,30.41,1.477,-277.844,3.738,261.933,3.738,-6.07,2000.0,,,0.00,0.00,0.00
21,31.88,1.475,-277.757,3.649,260.462,3.649,-6.08,2000.0,,,0.00,0.00,0.00
22,33.36,1.471,-277.670,3.559,258.993,3.559,-6.08,2000.0,,,0.00,0.00,0.00
23,34.83,1.466,-277.582,3.470,257.527,3.470,-6.07,2000.0,,,0.00,0.00,0.00
24,36.30,5.914,-277.494,3.382,256.066,3.382,-1.50,2000.0,,,0.00,0.00,0.00
25,42.21,1.511,-277.135,3.024,250.175,3.024,-23.67,2000.0,,,0.00,0.00,0.00
26,43.72,1.512,-277.043,2.932,248.669,2.932,-6.09,2000.0,,,0.00,0.00,0.00
27,45.23,1.514,-276.950,2.841,247.163,2.841,-6.02,2000.0,,,0.00,0.00,0.00
28,46.75,1.516,-276.856,2.752,245.655,2.752,-5.86,2000.0,,,0.00,0.00,0.00
29,48.26,1.518,-276.763,2.664,244.144,2.664,-5.80,2000.0,,,0.00,0.00,0.00
30,49.78,1.519,-276.669,2.574,242.632,2.574,-5.89,2000.0,,,0.00,0.00,0.00
31,51.30,1.520,-276.575,2.484,241.119,2.484,-5.92,2000.0,,,0.00,0.00,0.00
32,52.82,1.522,-276.482,2.396,239.605,2.396,-5.82,2000.0,,,0.00,0.00,0.00
33,54.34,1.524,-276.388,2.307,238.088,2.307,-5.80,2000.0,,,0.00,0.00,0.00
34,55.86,1.525,-276.294,2.219,236.570,2.219,-5.82,2000.0,,,0.00,0.00,0.00
35,57.39,1.526,-276.200,2.130,235.051,2.130,-5.80,2000.0,,,0.00,0.00,0.00
36,58.92,1.528,-276.105,2.043,233.530,2.043,-5.68,2000.0,,,0.00,0.00,0.00
37,60.44,1.529,-276.010,1.959,232.007,1.959,-5.52,2000.0,,,0.00,0.00,0.00
38,61.97,1.531,-275.915,1.876,230.483,1.876,-5.43,2000.0,,,0.00,0.00,0.00
39,63.50,1.532,-275.820,1.793,228.958,1.793,-5.36,2000.0,,,0.00,0.00,0.00
40,65.04,1.533,-275.725,1.712,227.431,1.712,-5.31,2000.0,,,0.00,0.00,0.00
41,66.57,1.535,-275.631,1.632,225.903,1.632,-5.24,2000.0,,,0.00,0.00,0.00
42,68.10,1.536,-275.536,1.552,224.374,1.552,-5.21,2000.0,,,0.00,0.00,0.00
43,69.64,1.537,-275.442,1.472,222.843,1.472,-5.18,2000.0,,,0.00,0.00,0.00
44,71.18,1.538,-275.348,1.393,221.311,1.393,-5.13,2000.0,,,0.00,0.00,0.00
45,72.71,1.539,-275.255,1.317,219.779,1.317,-4.99,2000.0,,,0.00,0.00,0.00
46,74.25,1.540,-275.162,1.241,218.244,1.241,-4.91,2000.0,,,0.00,0.00,0.00
47,75.79,1.541,-275.069,1.167,216.709,1.167,-4.80,2000.0,,,0.00,0.00,0.00
