index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.599,-297.360,5.506,289.632,5.506,0.00,1952.9,,,0.00,0.00,0.00
1,1.60,1.591,-297.360,5.436,288.035,5.436,-4.42,1858.7,,,0.00,0.00,0.00
2,3.19,1.575,-297.361,5.366,286.446,5.366,-4.44,1804.5,,,0.00,0.00,0.00
3,4.76,1.556,-297.363,5.297,284.872,5.297,-4.46,1740.2,,,0.00,0.00,0.00
4,6.32,1.538,-297.367,5.228,283.318,5.228,-4.46,1659.7,,,0.00,0.00,0.00
5,7.86,1.523,-297.372,5.160,281.782,5.160,-4.44,1581.6,,,0.00,0.00,0.00
6,9.38,1.513,-297.379,5.094,280.261,5.094,-4.42,1524.5,,,0.00,0.00,0.00
7,10.89,1.508,-297.388,5.027,278.750,5.027,-4.40,1474.3,,,0.00,0.00,0.00
8,12.40,1.508,-297.398,4.961,277.244,4.961,-4.38,1524.1,,,0.00,0.00,0.00
9,13.91,1.509,-297.409,4.896,275.738,4.896,-4.36,1549.2,,,0.00,0.00,0.00
10,15.42,1.512,-297.422,4.830,274.230,4.830,-4.34,1617.9,,,0.00,0.00,0.00
11,16.93,1.516,-297.437,4.764,272.719,4.764,-4.33,1668.1,,,0.00,0.00,0.00
12,18.45,1.518,-297.452,4.699,271.205,4.699,-4.31,1722.1,,,0.00,0.00,0.00
13,19.97,1.521,-297.470,4.633,269.689,4.633,-4.30,1755.2,,,0.00,0.00,0.00
14,21.49,1.522,-297.488,4.568,268.170,4.568,-4.29,1807.6,,,0.00,0.00,0.00
15,23.01,1.524,-297.508,4.503,266.649,4.503,-4.27,1813.8,,,0.00,0.00,0.00
16,24.53,1.525,-297.529,4.438,265.128,4.438,-4.26,1807.7,,,0.00,0.00,0.00
17,26.06,1.525,-297.551,4.374,263.605,4.374,-4.24,1805.4,,,0.00,0.00,0.00
18,27.58,1.526,-297.575,4.309,262.081,4.309,-4.22,1790.6,,,0.00,0.00,0.00
19,29.11,1.527,-297.600,4.245,260.557,4.245,-4.19,1761.0,,,0.00,0.00,0.00
20,30.63,1.527,-297.626,4.182,259.032,4.182,-4.16,1728.9,,,0.00,0.00,0.00
21,32.16,1.526,-297.654,4.119,257.507,4.119,-4.13,1641.6,,,0.00,0.00,0.00
22,33.69,1.525,-297.683,4.056,255.982,4.056,-4.10,1543.0,,,0.00,0.00,0.00
23,35.21,1.522,-297.713,3.994,254.459,3.994,-4.07,1473.8,,,0.00,0.00,0.00
24,36.73,4.523,-297.745,3.933,252.939,3.933,-1.35,1395.3,,,0.00,0.00,0.00
25,41.26,1.504,-297.850,3.749,248.421,3.749,-12.21,1343.0,,,0.00,0.00,0.00
26,42.76,1.504,-297.889,3.685,246.920,3.685,-4.26,1261.7,,,0.00,0.00,0.00
27,44.27,1.505,-297.930,3.623,245.417,3.623,-4.13,1217.6,,,0.00,0.00,0.00
28,45.77,1.506,-297.973,3.563,243.915,3.563,-3.99,1243.7,,,0.00,0.00,0.00
29,47.28,1.506,-298.017,3.504,242.411,3.504,-3.90,1296.3,,,0.00,0.00,0.00
30,48.78,1.507,-298.064,3.447,240.907,3.447,-3.80,1342.6,,,0.00,0.00,0.00
31,50.29,1.508,-298.112,3.391,239.402,3.391,-3.71,1367.9,,,0.00,0.00,0.00
32,51.80,1.509,-298.162,3.335,237.896,3.335,-3.72,1359.5,,,0.00,0.00,0.00
33,53.31,1.510,-298.214,3.277,236.389,3.277,-3.81,1391.7,,,0.00,0.00,0.00
34,54.82,1.510,-298.266,3.218,234.882,3.218,-3.95,1393.5,,,0.00,0.00,0.00
35,56.33,1.511,-298.321,3.158,233.374,3.158,-3.95,1360.3,,,0.00,0.00,0.00
36,57.84,1.511,-298.377,3.099,231.866,3.099,-3.90,1344.4,,,0.00,0.00,0.00
37,59.35,1.512,-298.436,3.041,230.357,3.041,-3.83,1330.1,,,0.00,0.00,0.00
38,60.86,1.513,-298.496,2.984,228.848,2.984,-3.76,1307.0,,,0.00,0.00,0.00
39,62.37,1.513,-298.558,2.928,227.338,2.928,-3.74,1315.5,,,0.00,0.00,0.00
40,63.89,1.514,-298.621,2.871,225.827,2.871,-3.77,1317.8,,,0.00,0.00,0.00
41,65.40,1.514,-298.686,2.813,224.316,2.813,-3.80,1292.7,,,0.00,0.00,0.00
42,66.91,1.515,-298.753,2.757,222.804,2.757,-3.75,1294.9,,,0.00,0.00,0.00
43,68.43,1.516,-298.822,2.700,221.292,2.700,-3.73,1247.7,,,0.00,0.00,0.00
44,69.95,1.516,-298.893,2.643,219.779,2.643,-3.78,1214.1,,,0.00,0.00,0.00
