index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.639,-282.414,5.448,290.858,5.448,0.00,1367.3,,,0.00,0.00,0.00
1,1.64,1.630,-282.301,5.357,289.226,5.357,-5.56,1237.5,,,0.00,0.00,0.00
2,3.27,1.612,-282.189,5.266,287.603,5.266,-5.63,1142.6,,,0.00,0.00,0.00
3,4.88,1.589,-282.081,5.176,285.997,5.176,-5.70,1075.8,,,0.00,0.00,0.00
4,6.47,1.565,-281.978,5.086,284.415,5.086,-5.75,927.3,,,0.00,0.00,0.00
5,8.03,1.545,-281.880,4.996,282.855,4.996,-5.78,798.4,,,0.00,0.00,0.00
6,9.58,1.530,-281.786,4.907,281.316,4.907,-5.81,779.7,,,0.00,0.00,0.00
7,11.11,1.520,-281.697,4.819,279.792,4.819,-5.83,850.1,,,0.00,0.00,0.00
8,12.63,1.515,-281.612,4.730,278.277,4.730,-5.85,1033.2,,,0.00,0.00,0.00
9,14.14,1.513,-281.529,4.642,276.768,4.642,-5.87,1223.5,,,0.00,0.00,0.00
10,15.66,1.513,-281.449,4.552,275.260,4.552,-5.89,1412.7,,,0.00,0.00,0.00
11,17.17,1.513,-281.371,4.463,273.752,4.463,-5.92,1597.1,,,0.00,0.00,0.00
12,18.68,1.513,-281.294,4.373,272.244,4.373,-5.95,1761.7,,,0.00,0.00,0.00
13,20.19,1.513,-281.218,4.282,270.736,4.282,-5.98,1902.8,,,0.00,0.00,0.00
14,21.71,1.511,-281.142,4.192,269.228,4.192,-6.00,2000.0,,,0.00,0.00,0.00
15,23.22,1.508,-281.066,4.101,267.722,4.101,-6.03,2000.0,,,0.00,0.00,0.00
16,24.73,1.504,-280.990,4.010,266.218,4.010,-6.06,2000.0,,,0.00,0.00,0.00
17,26.23,1.499,-280.915,3.918,264.719,3.918,-6.08,2000.0,,,0.00,0.00,0.00
18,27.73,1.491,-280.839,3.827,263.226,3.827,-6.10,2000.0,,,0.00,0.00,0.00
19,29.22,1.483,-280.764,3.737,261.739,3.737,-6.11,2000.0,,,0.00,0.00,0.00
20,30.70,1.474,-280.688,3.647,260.261,3.647,-6.12,2000.0,,,0.00,0.00,0.00
21,32.18,1.466,-280.613,3.557,258.791,3.557,-6.12,2000.0,,,0.00,0.00,0.00
22,33.64,1.459,-280.538,3.468,257.330,3.468,-6.11,2000.0,,,0.00,0.00,0.00
23,35.10,1.454,-280.463,3.379,255.876,3.379,-6.09,2000.0,,,0.00,0.00,0.00
24,36.56,4.447,-280.388,3.291,254.427,3.291,-1.98,2000.0,,,0.00,0.00,0.00
25,41.00,1.516,-280.158,3.023,249.994,3.023,-17.67,2000.0,,,0.00,0.00,0.00
26,42.52,1.517,-280.080,2.932,248.483,2.932,-6.01,2000.0,,,0.00,0.00,0.00
27,44.04,1.519,-280.001,2.841,246.971,2.841,-6.02,2000.0,,,0.00,0.00,0.00
28,45.56,1.520,-279.922,2.749,245.457,2.749,-6.04,2000.0,,,0.00,0.00,0.00
29,47.08,1.521,-279.843,2.657,243.942,2.657,-6.03,2000.0,,,0.00,0.00,0.00
30,48.60,1.522,-279.764,2.566,242.426,2.566,-5.97,2000.0,,,0.00,0.00,0.00
31,50.12,1.524,-279.684,2.476,240.909,2.476,-5.88,2000.0,,,0.00,0.00,0.00
32,51.64,1.525,-279.605,2.389,239.390,2.389,-5.73,2000.0,,,0.00,0.00,0.00
33,53.17,1.526,-279.526,2.304,237.870,2.304,-5.61,2000.0,,,0.00,0.00,0.00
34,54.69,1.527,-279.447,2.219,236.348,2.219,-5.52,2000.0,,,0.00,0.00,0.00
35,56.22,1.529,-279.368,2.135,234.825,2.135,-5.49,2000.0,,,0.00,0.00,0.00
36,57.75,1.530,-279.290,2.050,233.301,2.050,-5.55,2000.0,,,0.00,0.00,0.00
37,59.28,1.531,-279.212,1.964,231.775,1.964,-5.61,2000.0,,,0.00,0.00,0.00
38,60.81,1.532,-279.135,1.879,230.249,1.879,-5.59,2000.0,,,0.00,0.00,0.00
39,62.34,1.533,-279.059,1.794,228.721,1.794,-5.52,1931.1,,,0.00,0.00,0.00
40,63.88,1.534,-278.983,1.711,227.192,1.711,-5.45,1830.0,,,0.00,0.00,0.00
41,65.41,1.536,-278.907,1.628,225.662,1.628,-5.35,1792.1,,,0.00,0.00,0.00
42,66.95,1.537,-278.833,1.547,224.131,1.547,-5.28,1733.0,,,0.00,0.00,0.00
43,68.48,1.538,-278.760,1.468,222.598,1.468,-5.16,1608.7,,,0.00,0.00,0.00
44,70.02,1.538,-278.689,1.390,221.064,1.390,-5.07,1482.3,,,0.00,0.00,0.00
45,71.56,1.540,-278.619,1.314,219.530,1.314,-4.91,1338.8,,,0.00,0.00,0.00
46,73.10,1.541,-278.551,1.240,217.994,1.240,-4.83,1252.4,,,0.00,0.00,0.00
47,74.64,1.542,-278.484,1.166,216.456,1.166,-4.78,1200.8,,,0.00,0.00,0.00
48,76.18,1.543,-278.420,1.092,214.918,1.092,-4.82,1104.6,,,0.00,0.00,0.00
49,77.72,1.543,-278.358,1.017,213.379,1.017,-4.83,1044.2,,,0.00,0.00,0.00
