index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.538,738.468,5.615,693.583,5.615,0.00,2000.0,,,0.00,0.00,0.00
1,1.54,1.526,738.110,5.617,692.089,5.617,0.11,2000.0,,,0.00,0.00,0.00
2,3.06,1.509,737.755,5.618,690.605,5.618,0.10,2000.0,,,0.00,0.00,0.00
3,4.57,1.489,737.405,5.619,689.139,5.619,0.09,2000.0,,,0.00,0.00,0.00
4,6.06,1.471,737.060,5.621,687.691,5.621,0.07,2000.0,,,0.00,0.00,0.00
5,7.53,1.456,736.719,5.621,686.262,5.621,0.06,2000.0,,,0.00,0.00,0.00
6,8.99,1.447,736.381,5.622,684.846,5.622,0.04,2000.0,,,0.00,0.00,0.00
7,10.44,1.444,736.045,5.622,683.439,5.622,0.03,2000.0,,,0.00,0.00,0.00
8,11.88,1.444,735.709,5.623,682.036,5.623,0.01,2000.0,,,0.00,0.00,0.00
9,13.32,1.446,735.374,5.623,680.633,5.623,-0.00,2000.0,,,0.00,0.00,0.00
10,14.77,1.449,735.037,5.622,679.228,5.622,-0.02,2000.0,,,0.00,0.00,0.00
11,16.22,1.453,734.699,5.622,677.819,5.622,-0.03,2000.0,,,0.00,0.00,0.00
12,17.67,1.455,734.361,5.621,676.408,5.621,-0.05,2000.0,,,0.00,0.00,0.00
13,19.13,1.457,734.022,5.620,674.994,5.620,-0.07,2000.0,,,0.00,0.00,0.00
14,20.58,1.458,733.682,5.619,673.578,5.619,-0.10,2000.0,,,0.00,0.00,0.00
15,22.04,1.459,733.342,5.617,672.161,5.617,-0.13,2000.0,,,0.00,0.00,0.00
16,23.50,1.459,733.002,5.614,670.743,5.614,-0.16,2000.0,,,0.00,0.00,0.00
17,24.96,1.459,732.662,5.611,669.325,5.611,-0.20,2000.0,,,0.00,0.00,0.00
18,26.42,1.459,732.322,5.608,667.908,5.608,-0.24,2000.0,,,0.00,0.00,0.00
19,27.88,1.458,731.982,5.604,666.490,5.604,-0.28,2000.0,,,0.00,0.00,0.00
