index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.514,738.214,5.619,693.292,5.619,0.00,777.6,,,0.00,0.00,0.00
1,1.51,1.504,737.849,5.620,691.824,5.620,0.11,840.5,,,0.00,0.00,0.00
2,3.02,1.491,737.488,5.622,690.364,5.622,0.10,869.3,,,0.00,0.00,0.00
3,4.51,1.476,737.134,5.623,688.917,5.623,0.09,943.1,,,0.00,0.00,0.00
4,5.99,1.464,736.786,5.624,687.483,5.624,0.07,1032.5,,,0.00,0.00,0.00
5,7.45,1.456,736.443,5.625,686.061,5.625,0.06,1202.8,,,0.00,0.00,0.00
6,8.91,1.453,736.104,5.626,684.647,5.626,0.04,1377.5,,,0.00,0.00,0.00
7,10.36,1.455,735.767,5.626,683.234,5.626,0.02,1560.6,,,0.00,0.00,0.00
8,11.81,1.460,735.432,5.626,681.820,5.626,0.01,1690.3,,,0.00,0.00,0.00
9,13.27,1.467,735.095,5.626,680.400,5.626,-0.01,1831.3,,,0.00,0.00,0.00
10,14.74,1.474,734.758,5.626,678.973,5.626,-0.03,1919.0,,,0.00,0.00,0.00
11,16.21,1.480,734.421,5.625,677.540,5.625,-0.04,2000.0,,,0.00,0.00,0.00
12,17.69,1.484,734.083,5.624,676.100,5.624,-0.06,2000.0,,,0.00,0.00,0.00
13,19.18,1.488,733.744,5.623,674.657,5.623,-0.09,2000.0,,,0.00,0.00,0.00
14,20.67,1.490,733.405,5.621,673.209,5.621,-0.11,2000.0,,,0.00,0.00,0.00
15,22.16,1.491,733.065,5.619,671.760,5.619,-0.14,2000.0,,,0.00,0.00,0.00
16,23.65,1.492,732.726,5.616,670.308,5.616,-0.18,2000.0,,,0.00,0.00,0.00
17,25.14,1.493,732.386,5.613,668.856,5.613,-0.21,2000.0,,,0.00,0.00,0.00
18,26.63,1.493,732.046,5.609,667.403,5.609,-0.25,2000.0,,,0.00,0.00,0.00
19,28.13,1.493,731.706,5.605,665.950,5.605,-0.29,2000.0,,,0.00,0.00,0.00
20,29.62,1.493,731.365,5.600,664.497,5.600,-0.34,2000.0,,,0.00,0.00,0.00
21,31.11,1.493,731.024,5.594,663.045,5.594,-0.38,1911.4,,,0.00,0.00,0.00
22,32.60,1.492,730.683,5.588,661.593,5.588,-0.43,1800.1,,,0.00,0.00,0.00
23,34.10,1.490,730.341,5.581,660.142,5.581,-0.49,1800.1,,,0.00,0.00,0.00
24,35.59,4.537,729.999,5.572,658.693,5.572,-0.18,1658.5,,,0.00,0.00,0.00
25,40.12,1.534,728.947,5.535,654.280,5.535,-2.43,1658.5,,,0.00,0.00,0.00
26,41.66,1.529,728.587,5.518,652.790,5.518,-1.11,1658.5,,,0.00,0.00,0.00
27,43.19,1.525,728.228,5.502,651.305,5.502,-1.05,1530.1,,,0.00,0.00,0.00
28,44.71,1.520,727.868,5.488,649.825,5.488,-0.94,1618.7,,,0.00,0.00,0.00
29,46.23,1.516,727.509,5.479,648.348,5.479,-0.56,1605.1,,,0.00,0.00,0.00
30,47.75,1.512,727.151,5.465,646.876,5.465,-0.96,1507.8,,,0.00,0.00,0.00
31,49.26,1.508,726.792,5.451,645.409,5.451,-0.89,1649.4,,,0.00,0.00,0.00
32,50.77,1.503,726.433,5.435,643.945,5.435,-1.09,1582.1,,,0.00,0.00,0.00
33,52.27,1.555,726.074,5.417,642.487,5.417,-1.16,1582.1,,,0.00,0.00,0.00
34,53.83,1.550,725.700,5.400,640.979,5.400,-1.07,1568.2,,,0.00,0.00,0.00
35,55.38,1.546,725.327,5.384,639.475,5.384,-1.06,1568.2,,,0.00,0.00,0.00
36,56.92,1.541,724.953,5.376,637.976,5.376,-0.50,1563.1,,,0.00,0.00,0.00
37,58.46,1.536,724.580,5.372,636.482,5.372,-0.27,1660.4,,,0.00,0.00,0.00
38,60.00,1.531,724.206,5.368,634.994,5.368,-0.26,1610.4,,,0.00,0.00,0.00
39,61.53,1.527,723.832,5.364,633.510,5.364,-0.27,1514.7,,,0.00,0.00,0.00
40,63.06,1.521,723.461,5.361,632.030,5.361,-0.19,1340.6,,,0.00,0.00,0.00
41,64.58,1.516,723.092,5.369,630.555,5.369,0.51,1278.3,,,0.00,0.00,0.00
42,66.09,1.511,722.722,5.378,629.086,5.378,0.62,1056.5,,,0.00,0.00,0.00
43,67.60,1.506,722.351,5.391,627.622,5.391,0.88,955.6,,,0.00,0.00,0.00
44,69.11,1.553,721.979,5.404,626.164,5.404,0.79,722.7,,,0.00,0.00,0.00
45,70.66,1.547,721.591,5.426,624.661,5.426,1.43,620.5,,,0.00,0.00,0.00
46,72.21,1.541,721.199,5.455,623.165,5.455,1.90,579.3,,,0.00,0.00,0.00
47,73.75,1.536,720.802,5.483,621.677,5.483,1.84,646.9,,,0.00,0.00,0.00
48,75.29,1.530,720.401,5.509,620.196,5.509,1.68,715.6,,,0.00,0.00,0.00
49,76.82,1.524,719.999,5.529,618.721,5.529,1.30,760.2,,,0.00,0.00,0.00
50,78.34,1.519,719.595,5.544,617.252,5.544,0.97,789.1,,,0.00,0.00,0.00
51,79.86,1.513,719.190,5.563,615.790,5.563,1.31,988.6,,,0.00,0.00,0.00
52,81.37,1.507,718.789,5.584,614.332,5.584,1.36,1042.9,,,0.00,0.00,0.00
53,82.88,1.502,718.392,5.609,612.879,5.609,1.66,1247.1,,,0.00,0.00,0.00
54,84.38,1.548,718.001,5.630,611.430,5.630,1.39,1353.6,,,0.00,0.00,0.00
55,85.93,1.543,717.598,5.652,609.936,5.652,1.37,1489.6,,,0.00,0.00,0.00
56,87.47,1.537,717.199,5.665,608.447,5.665,0.90,1655.3,,,0.00,0.00,0.00
57,89.01,1.532,716.803,5.682,606.963,5.682,1.09,1745.1,,,0.00,0.00,0.00
58,90.54,1.527,716.407,5.699,605.485,5.699,1.09,1702.6,,,0.00,0.00,0.00
59,92.07,1.521,716.014,5.714,604.011,5.714,0.99,1614.4,,,0.00,0.00,0.00
60,93.59,1.516,715.623,5.723,602.542,5.723,0.65,1614.4,,,0.00,0.00,0.00
61,95.11,1.511,715.235,5.731,601.077,5.731,0.48,1614.4,,,0.00,0.00,0.00
62,96.62,1.506,714.850,5.740,599.617,5.740,0.64,1400.1,,,0.00,0.00,0.00
63,98.12,1.501,714.469,5.755,598.161,5.755,0.98,1181.7,,,0.00,0.00,0.00
64,99.62,1.546,714.089,5.765,596.710,5.765,0.66,1055.8,,,0.00,0.00,0.00
65,101.17,1.541,713.698,5.774,595.215,5.774,0.56,881.2,,,0.00,0.00,0.00
66,102.71,1.536,713.303,5.778,593.727,5.778,0.29,811.7,,,0.00,0.00,0.00
67,104.25,1.531,712.903,5.788,592.245,5.788,0.65,554.1,,,0.00,0.00,0.00
68,105.78,1.526,712.498,5.797,590.770,5.797,0.60,302.6,,,0.00,0.00,0.00
69,107.30,1.521,712.086,5.802,589.302,5.802,0.31,253.4,,,0.00,0.00,0.00
70,108.83,1.516,711.664,5.802,587.841,5.802,-0.02,222.6,,,0.00,0.00,0.00
71,110.34,1.511,711.232,5.809,586.390,5.809,0.44,200.1,,,0.00,0.00,0.00
72,111.85,1.506,710.793,5.822,584.945,5.822,0.88,183.6,,,0.00,0.00,0.00
73,113.36,1.549,710.341,5.838,583.510,5.838,1.02,169.4,,,0.00,0.00,0.00
74,114.91,1.543,709.863,5.853,582.038,5.853,1.01,155.4,,,0.00,0.00,0.00
75,116.45,1.538,709.375,5.871,580.575,5.871,1.18,134.2,,,0.00,0.00,0.00
76,117.99,1.532,708.870,5.883,579.123,5.883,0.77,125.2,,,0.00,0.00,0.00
77,119.52,1.527,708.348,5.892,577.684,5.892,0.57,112.6,,,0.00,0.00,0.00
78,121.05,1.522,707.806,5.900,576.257,5.900,0.54,99.1,,,0.00,0.00,0.00
79,122.57,1.517,707.241,5.911,574.845,5.911,0.72,92.9,,,0.00,0.00,0.00
80,124.09,1.511,706.656,5.914,573.447,5.914,0.23,89.5,,,0.00,0.00,0.00
81,125.60,1.507,706.048,5.915,572.064,5.915,0.04,89.2,,,0.00,0.00,0.00
82,127.10,1.502,705.417,5.920,570.696,5.920,0.32,88.8,,,0.00,0.00,0.00
83,128.61,1.545,704.764,5.923,569.344,5.923,0.24,87.6,,,0.00,0.00,0.00
84,130.15,1.540,704.069,5.918,567.966,5.918,-0.34,87.7,,,0.00,0.00,0.00
85,131.69,1.535,703.355,5.908,566.603,5.908,-0.66,89.2,,,0.00,0.00,0.00
86,133.23,1.531,702.618,5.904,565.256,5.904,-0.27,87.1,,,0.00,0.00,0.00
87,134.76,1.527,701.860,5.900,563.927,5.900,-0.21,85.6,,,0.00,0.00,0.00
88,136.28,1.522,701.081,5.895,562.615,5.895,-0.37,81.7,,,0.00,0.00,0.00
89,137.81,1.518,700.282,5.886,561.320,5.886,-0.60,78.8,,,0.00,0.00,0.00
90,139.32,1.514,699.459,5.878,560.045,5.878,-0.53,76.1,,,0.00,0.00,0.00
91,140.84,1.509,698.614,5.872,558.790,5.872,-0.39,73.3,,,0.00,0.00,0.00
92,142.35,1.505,697.744,5.863,557.558,5.863,-0.58,69.5,,,0.00,0.00,0.00
93,143.85,1.501,696.849,5.854,556.348,5.854,-0.57,68.3,,,0.00,0.00,0.00
94,145.35,1.542,695.930,5.845,555.163,5.845,-0.60,67.2,,,0.00,0.00,0.00
95,146.90,1.538,694.958,5.833,553.966,5.833,-0.76,67.8,,,0.00,0.00,0.00
96,148.43,1.534,693.961,5.817,552.796,5.817,-1.05,67.3,,,0.00,0.00,0.00
97,149.97,1.530,692.939,5.806,551.654,5.806,-0.75,65.9,,,0.00,0.00,0.00
98,151.50,1.526,691.895,5.795,550.536,5.795,-0.68,63.5,,,0.00,0.00,0.00
99,153.02,1.521,690.831,5.786,549.444,5.786,-0.64,61.7,,,0.00,0.00,0.00
100,154.54,1.517,689.744,5.774,548.380,5.774,-0.75,59.5,,,0.00,0.00,0.00
101,156.06,1.513,688.633,5.764,547.349,5.764,-0.68,56.8,,,0.00,0.00,0.00
102,157.57,1.508,687.494,5.755,546.354,5.755,-0.57,53.8,,,0.00,0.00,0.00
103,159.08,1.504,686.331,5.744,545.395,5.744,-0.74,51.4,,,0.00,0.00,0.00
104,160.59,1.544,685.142,5.734,544.475,5.734,-0.67,50.2,,,0.00,0.00,0.00
105,162.13,1.540,683.895,5.721,543.567,5.721,-0.83,49.9,,,0.00,0.00,0.00
106,163.67,1.536,682.624,5.705,542.698,5.705,-1.06,49.5,,,0.00,0.00,0.00
107,165.21,1.532,681.329,5.688,541.874,5.688,-1.09,49.3,,,0.00,0.00,0.00
108,166.74,1.528,680.012,5.671,541.094,5.671,-1.15,49.6,,,0.00,0.00,0.00
109,168.26,1.524,678.675,5.652,540.356,5.652,-1.22,49.2,,,0.00,0.00,0.00
110,169.79,1.520,677.319,5.632,539.662,5.632,-1.30,49.3,,,0.00,0.00,0.00
111,171.31,1.517,675.945,5.615,539.013,5.615,-1.13,50.1,,,0.00,0.00,0.00
112,172.83,1.513,674.557,5.600,538.405,5.600,-1.00,51.2,,,0.00,0.00,0.00
113,174.34,1.509,673.154,5.580,537.841,5.580,-1.31,52.3,,,0.00,0.00,0.00
114,175.85,1.506,671.737,5.565,537.324,5.565,-1.03,53.5,,,0.00,0.00,0.00
115,177.35,1.503,670.309,5.547,536.847,5.547,-1.20,54.9,,,0.00,0.00,0.00
116,178.86,1.542,668.873,5.524,536.409,5.524,-1.49,58.2,,,0.00,0.00,0.00
