index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.599,738.721,5.620,693.378,5.620,0.00,1513.9,,,0.00,0.00,0.00
1,1.60,1.588,738.395,5.622,691.814,5.622,0.11,1410.6,,,0.00,0.00,0.00
2,3.19,1.571,738.073,5.624,690.260,5.624,0.10,1284.6,,,0.00,0.00,0.00
3,4.76,1.552,737.755,5.625,688.723,5.625,0.08,1181.1,,,0.00,0.00,0.00
4,6.31,1.535,737.440,5.626,687.204,5.626,0.07,1112.0,,,0.00,0.00,0.00
5,7.84,1.523,737.126,5.627,685.703,5.627,0.05,1043.1,,,0.00,0.00,0.00
6,9.37,1.517,736.810,5.627,684.214,5.627,0.03,840.0,,,0.00,0.00,0.00
7,10.88,1.517,736.492,5.627,682.731,5.627,0.02,655.5,,,0.00,0.00,0.00
8,12.40,1.522,736.170,5.627,681.250,5.627,0.00,611.4,,,0.00,0.00,0.00
9,13.92,1.528,735.843,5.627,679.765,5.627,-0.01,635.1,,,0.00,0.00,0.00
10,15.45,1.536,735.510,5.627,678.274,5.627,-0.03,684.1,,,0.00,0.00,0.00
11,16.99,1.544,735.173,5.626,676.776,5.626,-0.04,722.8,,,0.00,0.00,0.00
12,18.53,1.550,734.830,5.625,675.272,5.625,-0.05,781.4,,,0.00,0.00,0.00
13,20.08,1.555,734.483,5.624,673.763,5.624,-0.07,824.3,,,0.00,0.00,0.00
14,21.64,1.558,734.133,5.623,672.249,5.623,-0.09,841.3,,,0.00,0.00,0.00
15,23.19,1.559,733.779,5.621,670.733,5.621,-0.11,867.0,,,0.00,0.00,0.00
16,24.75,1.559,733.422,5.619,669.216,5.619,-0.14,862.6,,,0.00,0.00,0.00
17,26.31,1.556,733.062,5.616,667.700,5.616,-0.19,835.5,,,0.00,0.00,0.00
18,27.87,1.550,732.701,5.612,666.188,5.612,-0.24,830.4,,,0.00,0.00,0.00
19,29.42,1.541,732.338,5.608,664.682,5.608,-0.30,786.7,,,0.00,0.00,0.00
20,30.96,1.528,731.974,5.602,663.186,5.602,-0.38,755.3,,,0.00,0.00,0.00
21,32.49,1.512,731.610,5.595,661.703,5.595,-0.45,709.2,,,0.00,0.00,0.00
22,34.00,1.494,731.247,5.587,660.236,5.587,-0.54,674.2,,,0.00,0.00,0.00
23,35.49,1.475,730.885,5.578,658.788,5.578,-0.62,677.3,,,0.00,0.00,0.00
24,36.97,4.455,730.525,5.568,657.358,5.568,-0.23,672.0,,,0.00,0.00,0.00
25,41.42,1.517,729.410,5.529,653.046,5.529,-2.55,740.3,,,0.00,0.00,0.00
26,42.94,1.518,729.023,5.512,651.579,5.512,-1.10,933.1,,,0.00,0.00,0.00
27,44.46,1.514,728.634,5.495,650.114,5.495,-1.18,1124.6,,,0.00,0.00,0.00
28,45.97,1.504,728.242,5.478,648.652,5.478,-1.10,1338.2,,,0.00,0.00,0.00
29,47.48,1.644,727.851,5.465,647.201,5.465,-0.80,1534.8,,,0.00,0.00,0.00
30,49.12,1.629,727.422,5.450,645.614,5.450,-0.95,1704.7,,,0.00,0.00,0.00
31,50.75,1.617,726.997,5.437,644.043,5.437,-0.79,1893.7,,,0.00,0.00,0.00
32,52.37,1.601,726.575,5.422,642.483,5.422,-0.90,2000.0,,,0.00,0.00,0.00
