index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.583,738.283,5.620,693.591,5.620,0.00,1111.0,,,0.00,0.00,0.00
1,1.58,1.567,737.984,5.621,692.037,5.621,0.10,958.1,,,0.00,0.00,0.00
2,3.15,1.546,737.691,5.623,690.499,5.623,0.09,842.9,,,0.00,0.00,0.00
3,4.70,1.522,737.401,5.624,688.982,5.624,0.08,756.4,,,0.00,0.00,0.00
4,6.22,1.501,737.111,5.625,687.489,5.625,0.07,658.8,,,0.00,0.00,0.00
5,7.72,1.485,736.819,5.626,686.018,5.626,0.05,563.5,,,0.00,0.00,0.00
6,9.20,1.476,736.522,5.627,684.564,5.627,0.04,319.6,,,0.00,0.00,0.00
7,10.68,1.473,736.218,5.627,683.121,5.627,0.02,284.2,,,0.00,0.00,0.00
8,12.15,1.476,735.905,5.627,681.682,5.627,0.00,295.3,,,0.00,0.00,0.00
9,13.63,1.481,735.584,5.627,680.243,5.627,-0.01,336.5,,,0.00,0.00,0.00
10,15.11,1.488,735.253,5.626,678.800,5.626,-0.03,404.7,,,0.00,0.00,0.00
11,16.60,1.495,734.916,5.626,677.352,5.626,-0.04,493.5,,,0.00,0.00,0.00
12,18.09,1.502,734.571,5.625,675.898,5.625,-0.05,608.5,,,0.00,0.00,0.00
13,19.59,1.508,734.222,5.624,674.439,5.624,-0.06,730.3,,,0.00,0.00,0.00
14,21.10,1.513,733.867,5.623,672.974,5.623,-0.08,874.5,,,0.00,0.00,0.00
15,22.62,1.518,733.509,5.621,671.505,5.621,-0.10,1027.8,,,0.00,0.00,0.00
16,24.13,1.523,733.148,5.619,670.031,5.619,-0.13,1166.3,,,0.00,0.00,0.00
17,25.66,1.527,732.783,5.617,668.554,5.617,-0.16,1294.8,,,0.00,0.00,0.00
18,27.18,1.532,732.416,5.614,667.072,5.614,-0.21,1409.9,,,0.00,0.00,0.00
19,28.72,1.536,732.046,5.610,665.586,5.610,-0.26,1511.7,,,0.00,0.00,0.00
20,30.25,1.540,731.673,5.605,664.097,5.605,-0.33,1594.9,,,0.00,0.00,0.00
