index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.538,-302.373,-10.721,-234.090,-10.721,0.00,940.1,,,0.00,0.00,0.00
1,1.54,1.526,-303.191,-10.658,-232.788,-10.658,4.17,867.2,,,0.00,0.00,0.00
2,3.06,1.508,-303.999,-10.593,-231.496,-10.593,4.25,811.9,,,0.00,0.00,0.00
3,4.57,1.488,-304.796,-10.529,-230.218,-10.529,4.33,769.6,,,0.00,0.00,0.00
4,6.06,1.469,-305.580,-10.464,-228.955,-10.464,4.41,685.9,,,0.00,0.00,0.00
5,7.53,1.455,-306.350,-10.399,-227.707,-10.399,4.47,601.4,,,0.00,0.00,0.00
6,8.98,1.446,-307.109,-10.334,-226.468,-10.334,4.53,569.3,,,0.00,0.00,0.00
7,10.43,1.442,-307.860,-10.268,-225.235,-10.268,4.59,565.5,,,0.00,0.00,0.00
8,11.87,1.442,-308.606,-10.201,-224.003,-10.201,4.64,590.4,,,0.00,0.00,0.00
9,13.31,1.444,-309.349,-10.133,-222.770,-10.133,4.70,628.9,,,0.00,0.00,0.00
10,14.76,1.446,-310.089,-10.064,-221.533,-10.064,4.75,685.1,,,0.00,0.00,0.00
11,16.20,1.449,-310.828,-9.995,-220.292,-9.995,4.79,757.8,,,0.00,0.00,0.00
12,17.65,1.450,-311.566,-9.925,-219.048,-9.925,4.82,834.3,,,0.00,0.00,0.00
13,19.10,1.451,-312.303,-9.854,-217.801,-9.854,4.85,932.7,,,0.00,0.00,0.00
14,20.55,1.452,-313.038,-9.784,-216.552,-9.784,4.86,1019.9,,,0.00,0.00,0.00
15,22.00,1.452,-313.772,-9.713,-215.301,-9.713,4.87,1103.1,,,0.00,0.00,0.00
16,23.46,1.453,-314.504,-9.643,-214.049,-9.643,4.86,1185.3,,,0.00,0.00,0.00
17,24.91,1.454,-315.235,-9.572,-212.796,-9.572,4.85,1260.5,,,0.00,0.00,0.00
18,26.36,1.456,-315.965,-9.502,-211.541,-9.502,4.83,1297.4,,,0.00,0.00,0.00
19,27.82,1.458,-316.694,-9.431,-210.284,-9.431,4.82,1330.0,,,0.00,0.00,0.00
20,29.28,1.462,-317.424,-9.361,-209.023,-9.361,4.82,1325.0,,,0.00,0.00,0.00
21,30.74,1.467,-318.154,-9.290,-207.759,-9.290,4.82,1251.3,,,0.00,0.00,0.00
22,32.21,1.473,-318.886,-9.219,-206.489,-9.219,4.84,1157.6,,,0.00,0.00,0.00
23,33.68,1.478,-319.618,-9.147,-205.214,-9.147,4.88,1091.4,,,0.00,0.00,0.00
24,35.16,4.538,-320.352,-9.074,-203.933,-9.074,1.61,1049.9,,,0.00,0.00,0.00
25,39.70,1.541,-322.590,-8.840,-199.992,-8.840,15.14,1035.2,,,0.00,0.00,0.00
26,41.24,1.539,-323.343,-8.758,-198.651,-8.758,5.35,1005.6,,,0.00,0.00,0.00
27,42.78,1.536,-324.093,-8.673,-197.310,-8.673,5.53,1028.1,,,0.00,0.00,0.00
28,44.31,1.534,-324.840,-8.588,-195.971,-8.588,5.54,1086.8,,,0.00,0.00,0.00
29,45.85,1.532,-325.585,-8.501,-194.632,-8.501,5.67,1119.8,,,0.00,0.00,0.00
30,47.38,1.530,-326.326,-8.412,-193.295,-8.412,5.83,1090.9,,,0.00,0.00,0.00
31,48.91,1.528,-327.065,-8.323,-191.958,-8.323,5.86,1023.0,,,0.00,0.00,0.00
32,50.44,1.525,-327.801,-8.230,-190.623,-8.230,6.07,948.4,,,0.00,0.00,0.00
33,51.96,1.523,-328.533,-8.137,-189.289,-8.137,6.10,904.5,,,0.00,0.00,0.00
34,53.48,1.520,-329.262,-8.041,-187.955,-8.041,6.32,792.5,,,0.00,0.00,0.00
35,55.00,1.518,-329.986,-7.945,-186.622,-7.945,6.29,704.9,,,0.00,0.00,0.00
36,56.52,1.515,-330.706,-7.847,-185.290,-7.847,6.46,677.7,,,0.00,0.00,0.00
37,58.04,1.513,-331.422,-7.749,-183.958,-7.749,6.53,651.4,,,0.00,0.00,0.00
38,59.55,1.510,-332.134,-7.648,-182.628,-7.648,6.66,635.2,,,0.00,0.00,0.00
39,61.06,1.507,-332.841,-7.544,-181.298,-7.544,6.91,618.0,,,0.00,0.00,0.00
40,62.57,1.505,-333.543,-7.442,-179.969,-7.442,6.77,584.2,,,0.00,0.00,0.00
41,64.07,1.550,-334.241,-7.337,-178.640,-7.337,6.79,592.0,,,0.00,0.00,0.00
42,65.62,1.547,-334.956,-7.230,-177.269,-7.230,6.93,604.5,,,0.00,0.00,0.00
43,67.17,1.544,-335.666,-7.122,-175.898,-7.122,6.97,609.5,,,0.00,0.00,0.00
44,68.71,1.541,-336.370,-7.015,-174.529,-7.015,6.95,660.8,,,0.00,0.00,0.00
45,70.26,1.538,-337.070,-6.907,-173.160,-6.907,7.02,721.6,,,0.00,0.00,0.00
46,71.79,1.536,-337.766,-6.800,-171.792,-6.800,6.99,767.2,,,0.00,0.00,0.00
47,73.33,1.533,-338.458,-6.694,-170.426,-6.694,6.88,794.1,,,0.00,0.00,0.00
48,74.86,1.530,-339.146,-6.592,-169.060,-6.592,6.70,825.1,,,0.00,0.00,0.00
49,76.39,1.527,-339.830,-6.491,-167.696,-6.491,6.55,846.2,,,0.00,0.00,0.00
50,77.92,1.525,-340.512,-6.392,-166.333,-6.392,6.54,861.8,,,0.00,0.00,0.00
51,79.44,1.523,-341.189,-6.290,-164.970,-6.290,6.67,844.1,,,0.00,0.00,0.00
52,80.97,1.520,-341.863,-6.188,-163.609,-6.188,6.75,804.3,,,0.00,0.00,0.00
53,82.49,1.518,-342.533,-6.084,-162.249,-6.084,6.80,803.8,,,0.00,0.00,0.00
54,84.01,1.517,-343.200,-5.982,-160.889,-5.982,6.72,794.6,,,0.00,0.00,0.00
55,85.52,1.515,-343.863,-5.879,-159.529,-5.879,6.83,766.7,,,0.00,0.00,0.00
56,87.04,1.513,-344.523,-5.777,-158.170,-5.777,6.74,748.1,,,0.00,0.00,0.00
57,88.55,1.511,-345.179,-5.674,-156.811,-5.674,6.81,740.8,,,0.00,0.00,0.00
58,90.06,1.509,-345.832,-5.570,-155.453,-5.570,6.90,733.0,,,0.00,0.00,0.00
59,91.57,1.508,-346.481,-5.466,-154.094,-5.466,6.86,735.7,,,0.00,0.00,0.00
60,93.08,1.506,-347.126,-5.361,-152.736,-5.361,6.99,703.7,,,0.00,0.00,0.00
61,94.58,1.551,-347.768,-5.257,-151.378,-5.257,6.72,707.1,,,0.00,0.00,0.00
62,96.13,1.549,-348.426,-5.148,-149.978,-5.148,7.01,719.6,,,0.00,0.00,0.00
63,97.68,1.547,-349.081,-5.041,-148.579,-5.041,6.95,758.5,,,0.00,0.00,0.00
64,99.23,1.545,-349.730,-4.931,-147.180,-4.931,7.11,821.8,,,0.00,0.00,0.00
65,100.78,1.543,-350.377,-4.823,-145.781,-4.823,7.00,894.5,,,0.00,0.00,0.00
66,102.32,1.541,-351.019,-4.714,-144.382,-4.714,7.06,945.3,,,0.00,0.00,0.00
67,103.86,1.542,-351.659,-4.609,-142.984,-4.609,6.83,1004.6,,,0.00,0.00,0.00
68,105.40,1.544,-352.297,-4.507,-141.585,-4.507,6.59,1077.3,,,0.00,0.00,0.00
69,106.95,1.546,-352.935,-4.407,-140.182,-4.407,6.49,1144.6,,,0.00,0.00,0.00
70,108.49,1.549,-353.571,-4.309,-138.776,-4.309,6.27,1154.8,,,0.00,0.00,0.00
71,110.04,1.505,-354.207,-4.214,-137.367,-4.214,6.35,1101.7,,,0.00,0.00,0.00
72,111.55,1.508,-354.823,-4.121,-135.997,-4.121,6.15,1085.1,,,0.00,0.00,0.00
73,113.05,1.511,-355.438,-4.031,-134.624,-4.031,5.96,1063.1,,,0.00,0.00,0.00
