index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.595,-176.335,-6.647,105.480,-6.647,0.00,1858.3,,,0.00,0.00,0.00
1,1.60,1.587,-176.161,-6.638,103.894,-6.638,0.55,1709.2,,,0.00,0.00,0.00
2,3.18,1.572,-175.988,-6.629,102.317,-6.629,0.55,1571.5,,,0.00,0.00,0.00
3,4.75,1.556,-175.818,-6.621,100.754,-6.621,0.55,1475.2,,,0.00,0.00,0.00
4,6.31,1.541,-175.651,-6.612,99.207,-6.612,0.55,1321.5,,,0.00,0.00,0.00
5,7.85,1.530,-175.488,-6.604,97.675,-6.604,0.55,1181.0,,,0.00,0.00,0.00
6,9.38,1.524,-175.328,-6.596,96.154,-6.596,0.55,1086.0,,,0.00,0.00,0.00
7,10.90,1.524,-175.172,-6.587,94.638,-6.587,0.55,1104.9,,,0.00,0.00,0.00
8,12.43,1.526,-175.019,-6.579,93.122,-6.579,0.56,1231.6,,,0.00,0.00,0.00
9,13.95,1.531,-174.867,-6.570,91.603,-6.570,0.56,1391.1,,,0.00,0.00,0.00
10,15.49,1.536,-174.717,-6.561,90.080,-6.561,0.57,1548.7,,,0.00,0.00,0.00
11,17.02,1.539,-174.567,-6.552,88.551,-6.552,0.57,1702.4,,,0.00,0.00,0.00
12,18.56,1.542,-174.418,-6.544,87.019,-6.544,0.58,1842.8,,,0.00,0.00,0.00
13,20.10,1.542,-174.270,-6.535,85.485,-6.535,0.58,1937.9,,,0.00,0.00,0.00
14,21.64,1.541,-174.122,-6.526,83.949,-6.526,0.57,2000.0,,,0.00,0.00,0.00
15,23.19,1.538,-173.975,-6.517,82.415,-6.517,0.57,2000.0,,,0.00,0.00,0.00
16,24.72,1.533,-173.828,-6.508,80.884,-6.508,0.56,2000.0,,,0.00,0.00,0.00
17,26.26,1.526,-173.682,-6.500,79.358,-6.500,0.55,2000.0,,,0.00,0.00,0.00
18,27.78,1.517,-173.536,-6.492,77.839,-6.492,0.54,2000.0,,,0.00,0.00,0.00
19,29.30,1.506,-173.391,-6.484,76.329,-6.484,0.53,2000.0,,,0.00,0.00,0.00
20,30.81,1.493,-173.248,-6.476,74.830,-6.476,0.51,2000.0,,,0.00,0.00,0.00
21,32.30,1.478,-173.106,-6.469,73.344,-6.469,0.50,2000.0,,,0.00,0.00,0.00
22,33.78,1.464,-172.965,-6.462,71.872,-6.462,0.47,2000.0,,,0.00,0.00,0.00
23,35.24,1.452,-172.826,-6.455,70.414,-6.455,0.45,2000.0,,,0.00,0.00,0.00
24,36.69,4.530,-172.688,-6.449,68.969,-6.449,0.13,2000.0,,,0.00,0.00,0.00
25,41.22,1.501,-172.260,-6.429,64.459,-6.429,1.35,2000.0,,,0.00,0.00,0.00
26,42.73,1.501,-172.119,-6.418,62.965,-6.418,0.73,2000.0,,,0.00,0.00,0.00
27,44.23,1.501,-171.979,-6.406,61.471,-6.406,0.83,2000.0,,,0.00,0.00,0.00
28,45.73,1.501,-171.838,-6.394,59.976,-6.394,0.75,2000.0,,,0.00,0.00,0.00
29,47.23,1.501,-171.698,-6.385,58.482,-6.385,0.64,2000.0,,,0.00,0.00,0.00
30,48.73,1.502,-171.558,-6.376,56.987,-6.376,0.60,2000.0,,,0.00,0.00,0.00
31,50.23,1.502,-171.418,-6.367,55.492,-6.367,0.58,2000.0,,,0.00,0.00,0.00
