index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.547,-177.155,-6.779,105.421,-6.779,0.00,2000.0,,,0.00,0.00,0.00
1,1.55,1.535,-176.996,-6.771,103.882,-6.771,0.55,1938.2,,,0.00,0.00,0.00
2,3.08,1.516,-176.839,-6.763,102.355,-6.763,0.55,1863.3,,,0.00,0.00,0.00
3,4.60,1.495,-176.685,-6.754,100.847,-6.754,0.56,1797.5,,,0.00,0.00,0.00
4,6.09,1.476,-176.533,-6.746,99.359,-6.746,0.56,1736.6,,,0.00,0.00,0.00
5,7.57,1.460,-176.385,-6.738,97.891,-6.738,0.56,1692.5,,,0.00,0.00,0.00
6,9.03,1.449,-176.240,-6.730,96.438,-6.730,0.56,1692.5,,,0.00,0.00,0.00
7,10.48,1.444,-176.097,-6.722,94.996,-6.722,0.56,1692.5,,,0.00,0.00,0.00
8,11.92,1.443,-175.956,-6.713,93.559,-6.713,0.57,1736.7,,,0.00,0.00,0.00
9,13.37,1.444,-175.817,-6.705,92.123,-6.705,0.57,1809.7,,,0.00,0.00,0.00
10,14.81,1.446,-175.678,-6.697,90.686,-6.697,0.57,1895.0,,,0.00,0.00,0.00
11,16.25,1.447,-175.540,-6.689,89.248,-6.689,0.58,1955.9,,,0.00,0.00,0.00
12,17.70,1.449,-175.402,-6.680,87.807,-6.680,0.58,2000.0,,,0.00,0.00,0.00
13,19.15,1.450,-175.265,-6.672,86.365,-6.672,0.58,2000.0,,,0.00,0.00,0.00
14,20.60,1.450,-175.127,-6.663,84.922,-6.663,0.58,2000.0,,,0.00,0.00,0.00
15,22.05,1.450,-174.990,-6.655,83.478,-6.655,0.58,2000.0,,,0.00,0.00,0.00
16,23.50,1.450,-174.853,-6.647,82.035,-6.647,0.57,2000.0,,,0.00,0.00,0.00
17,24.95,1.451,-174.715,-6.639,80.591,-6.639,0.56,2000.0,,,0.00,0.00,0.00
18,26.40,1.453,-174.578,-6.631,79.146,-6.631,0.55,2000.0,,,0.00,0.00,0.00
19,27.86,1.456,-174.440,-6.623,77.700,-6.623,0.54,2000.0,,,0.00,0.00,0.00
20,29.31,1.460,-174.303,-6.615,76.250,-6.615,0.52,2000.0,,,0.00,0.00,0.00
21,30.77,1.467,-174.165,-6.608,74.797,-6.608,0.51,2000.0,,,0.00,0.00,0.00
22,32.24,1.475,-174.026,-6.600,73.337,-6.600,0.50,2000.0,,,0.00,0.00,0.00
23,33.71,1.485,-173.886,-6.593,71.869,-6.593,0.49,2000.0,,,0.00,0.00,0.00
24,35.20,4.593,-173.745,-6.586,70.391,-6.586,0.16,2000.0,,,0.00,0.00,0.00
25,39.79,1.562,-173.305,-6.564,65.819,-6.564,1.39,2000.0,,,0.00,0.00,0.00
26,41.35,1.562,-173.155,-6.551,64.264,-6.551,0.85,2000.0,,,0.00,0.00,0.00
27,42.91,1.561,-173.004,-6.543,62.709,-6.543,0.52,2000.0,,,0.00,0.00,0.00
28,44.48,1.560,-172.854,-6.534,61.156,-6.534,0.57,2000.0,,,0.00,0.00,0.00
29,46.04,1.559,-172.703,-6.525,59.604,-6.525,0.58,2000.0,,,0.00,0.00,0.00
30,47.59,1.558,-172.552,-6.515,58.052,-6.515,0.63,2000.0,,,0.00,0.00,0.00
31,49.15,1.557,-172.402,-6.507,56.501,-6.507,0.55,2000.0,,,0.00,0.00,0.00
32,50.71,1.556,-172.252,-6.497,54.952,-6.497,0.59,2000.0,,,0.00,0.00,0.00
33,52.27,1.555,-172.102,-6.490,53.402,-6.490,0.49,2000.0,,,0.00,0.00,0.00
34,53.82,1.555,-171.952,-6.481,51.854,-6.481,0.54,2000.0,,,0.00,0.00,0.00
35,55.38,1.554,-171.802,-6.473,50.307,-6.473,0.52,2000.0,,,0.00,0.00,0.00
36,56.93,1.553,-171.653,-6.466,48.761,-6.466,0.46,2000.0,,,0.00,0.00,0.00
37,58.48,1.552,-171.503,-6.458,47.215,-6.458,0.52,2000.0,,,0.00,0.00,0.00
38,60.03,1.551,-171.354,-6.449,45.670,-6.449,0.58,2000.0,,,0.00,0.00,0.00
39,61.59,1.549,-171.205,-6.441,44.126,-6.441,0.54,2000.0,,,0.00,0.00,0.00
40,63.13,1.545,-171.055,-6.432,42.585,-6.432,0.58,2000.0,,,0.00,0.00,0.00
41,64.68,1.540,-170.906,-6.424,41.047,-6.424,0.52,2000.0,,,0.00,0.00,0.00
42,66.22,1.533,-170.757,-6.416,39.514,-6.416,0.49,2000.0,,,0.00,0.00,0.00
43,67.75,1.526,-170.609,-6.408,37.988,-6.408,0.51,2000.0,,,0.00,0.00,0.00
44,69.28,1.520,-170.461,-6.401,36.469,-6.401,0.51,2000.0,,,0.00,0.00,0.00
