index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.684,-176.831,-6.778,105.897,-6.778,0.00,2000.0,,,0.00,0.00,0.00
1,1.68,1.676,-176.682,-6.769,104.220,-6.769,0.52,1948.7,,,0.00,0.00,0.00
2,3.36,1.659,-176.534,-6.761,102.550,-6.761,0.52,1855.6,,,0.00,0.00,0.00
3,5.02,1.636,-176.388,-6.752,100.898,-6.752,0.53,1782.6,,,0.00,0.00,0.00
4,6.65,1.611,-176.242,-6.743,99.269,-6.743,0.53,1687.0,,,0.00,0.00,0.00
5,8.27,1.590,-176.097,-6.735,97.664,-6.735,0.54,1621.2,,,0.00,0.00,0.00
6,9.86,1.573,-175.952,-6.726,96.081,-6.726,0.54,1568.9,,,0.00,0.00,0.00
7,11.43,1.562,-175.807,-6.718,94.515,-6.718,0.55,1568.9,,,0.00,0.00,0.00
8,12.99,1.555,-175.661,-6.709,92.961,-6.709,0.56,1605.5,,,0.00,0.00,0.00
9,14.54,1.552,-175.514,-6.700,91.412,-6.700,0.56,1692.6,,,0.00,0.00,0.00
10,16.10,1.551,-175.366,-6.692,89.867,-6.692,0.57,1786.3,,,0.00,0.00,0.00
11,17.65,1.551,-175.217,-6.683,88.324,-6.683,0.57,1881.9,,,0.00,0.00,0.00
12,19.20,1.551,-175.067,-6.674,86.780,-6.674,0.58,1947.6,,,0.00,0.00,0.00
13,20.75,1.552,-174.916,-6.665,85.236,-6.665,0.58,2000.0,,,0.00,0.00,0.00
14,22.30,1.552,-174.765,-6.656,83.692,-6.656,0.57,2000.0,,,0.00,0.00,0.00
15,23.85,1.553,-174.613,-6.647,82.147,-6.647,0.57,2000.0,,,0.00,0.00,0.00
16,25.41,1.553,-174.462,-6.638,80.602,-6.638,0.56,2000.0,,,0.00,0.00,0.00
17,26.96,1.553,-174.309,-6.630,79.057,-6.630,0.55,2000.0,,,0.00,0.00,0.00
18,28.51,1.553,-174.157,-6.621,77.511,-6.621,0.54,2000.0,,,0.00,0.00,0.00
19,30.07,1.553,-174.004,-6.613,75.966,-6.613,0.53,2000.0,,,0.00,0.00,0.00
20,31.62,1.554,-173.851,-6.605,74.420,-6.605,0.51,2000.0,,,0.00,0.00,0.00
21,33.17,1.554,-173.698,-6.597,72.874,-6.597,0.50,2000.0,,,0.00,0.00,0.00
22,34.73,1.554,-173.545,-6.590,71.328,-6.590,0.49,2000.0,,,0.00,0.00,0.00
23,36.28,1.554,-173.391,-6.582,69.782,-6.582,0.49,2000.0,,,0.00,0.00,0.00
24,37.83,4.758,-173.236,-6.574,68.235,-6.574,0.16,2000.0,,,0.00,0.00,0.00
25,42.59,1.619,-172.761,-6.547,63.501,-6.547,1.70,2000.0,,,0.00,0.00,0.00
26,44.21,1.620,-172.599,-6.536,61.890,-6.536,0.67,2000.0,,,0.00,0.00,0.00
27,45.83,1.620,-172.437,-6.526,60.279,-6.526,0.63,2000.0,,,0.00,0.00,0.00
28,47.45,1.620,-172.274,-6.517,58.668,-6.517,0.58,2000.0,,,0.00,0.00,0.00
29,49.07,1.620,-172.112,-6.507,57.056,-6.507,0.58,2000.0,,,0.00,0.00,0.00
30,50.69,1.621,-171.949,-6.498,55.444,-6.498,0.57,2000.0,,,0.00,0.00,0.00
31,52.31,1.621,-171.786,-6.489,53.832,-6.489,0.57,2000.0,,,0.00,0.00,0.00
32,53.93,1.621,-171.623,-6.480,52.219,-6.480,0.53,2000.0,,,0.00,0.00,0.00
33,55.55,1.621,-171.460,-6.472,50.606,-6.472,0.51,2000.0,,,0.00,0.00,0.00
34,57.18,1.622,-171.296,-6.464,48.993,-6.464,0.49,2000.0,,,0.00,0.00,0.00
