index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.544,-4.878,63.954,-763.340,63.954,0.00,2000.0,26.14,94.1,2.63,10.81,13.44
1,1.54,1.543,-4.870,63.946,-761.797,63.946,-0.52,2000.0,26.45,95.2,2.63,10.80,13.44
2,3.08,1.533,-4.862,63.938,-760.264,63.938,-0.52,2000.0,26.75,96.3,2.64,10.80,13.44
3,4.59,1.519,-4.855,63.930,-758.745,63.930,-0.53,2000.0,27.06,97.4,2.64,10.80,13.44
4,6.10,1.503,-4.848,63.922,-757.242,63.922,-0.53,2000.0,27.36,98.5,2.64,10.80,13.44
5,7.59,1.489,-4.841,63.914,-755.753,63.914,-0.54,2000.0,27.67,99.6,2.64,10.79,13.44
6,9.07,1.479,-4.835,63.906,-754.274,63.906,-0.54,2000.0,27.97,100.7,2.65,10.79,13.43
7,10.54,1.475,-4.829,63.898,-752.799,63.898,-0.54,2000.0,28.28,101.8,2.65,10.79,13.43
8,12.02,1.475,-4.824,63.890,-751.324,63.890,-0.55,2000.0,28.58,102.9,2.65,10.78,13.43
9,13.49,1.478,-4.818,63.882,-749.846,63.882,-0.55,2000.0,28.89,104.0,2.65,10.78,13.43
10,14.98,1.484,-4.814,63.874,-748.362,63.874,-0.54,2000.0,29.19,105.1,2.66,10.77,13.43
11,16.47,1.488,-4.809,63.866,-746.874,63.866,-0.54,2000.0,29.23,105.2,2.66,10.77,13.43
12,17.96,1.491,-4.805,63.858,-745.384,63.858,-0.54,2000.0,29.29,105.4,2.67,10.76,13.43
13,19.45,1.492,-4.802,63.850,-743.892,63.850,-0.54,2000.0,29.34,105.6,2.67,10.76,13.43
14,20.94,1.491,-4.799,63.842,-742.401,63.842,-0.53,2000.0,29.39,105.8,2.68,10.75,13.43
15,22.43,1.488,-4.796,63.834,-740.913,63.834,-0.53,2000.0,29.45,106.0,2.68,10.75,13.43
16,23.91,1.483,-4.794,63.826,-739.430,63.826,-0.54,2000.0,29.50,106.2,2.69,10.74,13.43
17,25.39,1.478,-4.793,63.818,-737.953,63.818,-0.54,2000.0,29.55,106.4,2.70,10.73,13.43
18,26.86,1.472,-4.792,63.810,-736.481,63.810,-0.55,2000.0,29.59,106.5,2.70,10.73,13.43
19,28.33,1.466,-4.791,63.802,-735.015,63.802,-0.56,2000.0,29.62,106.6,2.71,10.72,13.43
20,29.79,1.461,-4.790,63.794,-733.554,63.794,-0.57,2000.0,29.66,106.8,2.72,10.71,13.43
21,31.24,1.457,-4.790,63.785,-732.097,63.785,-0.58,2000.0,29.73,107.0,2.72,10.70,13.43
22,32.70,1.455,-4.791,63.776,-730.642,63.776,-0.59,2000.0,29.76,107.1,2.73,10.70,13.43
23,34.15,1.455,-4.791,63.768,-729.187,63.768,-0.60,2000.0,29.81,107.3,2.74,10.69,13.43
24,35.61,1.455,-4.792,63.759,-727.732,63.759,-0.61,2000.0,29.84,107.4,2.75,10.68,13.43
25,40.08,4.470,-4.798,63.727,-723.262,63.727,-0.71,2000.0,29.89,107.6,2.77,10.65,13.43
26,41.60,1.526,-4.800,63.716,-721.737,63.716,-0.71,2000.0,29.93,107.8,2.78,10.64,13.43
27,43.13,1.528,-4.803,63.705,-720.209,63.705,-0.74,2000.0,29.96,107.9,2.79,10.63,13.43
28,44.66,1.529,-4.806,63.695,-718.680,63.695,-0.62,2000.0,30.02,108.1,2.81,10.62,13.43
29,46.19,1.532,-4.810,63.686,-717.148,63.686,-0.63,2000.0,30.04,108.2,2.82,10.61,13.43
30,47.73,1.534,-4.813,63.679,-715.614,63.679,-0.48,2000.0,30.11,108.4,2.83,10.60,13.43
31,49.26,1.536,-4.816,63.667,-714.078,63.667,-0.74,2000.0,30.13,108.5,2.84,10.59,13.43
32,50.80,1.538,-4.819,63.658,-712.540,63.658,-0.57,2000.0,30.18,108.6,2.85,10.58,13.43
33,52.34,1.540,-4.821,63.651,-711.000,63.651,-0.50,2000.0,30.22,108.8,2.86,10.57,13.43
34,53.88,1.543,-4.823,63.640,-709.457,63.640,-0.67,2000.0,30.27,109.0,2.87,10.56,13.43
