index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.572,-4.401,63.965,-763.619,63.965,0.00,2000.0,21.75,78.3,2.16,11.28,13.44
1,1.57,1.568,-4.387,63.957,-762.052,63.957,-0.50,2000.0,21.78,78.4,2.15,11.29,13.44
2,3.12,1.554,-4.373,63.950,-760.497,63.950,-0.51,2000.0,21.82,78.5,2.15,11.29,13.44
3,4.66,1.535,-4.360,63.942,-758.963,63.942,-0.51,2000.0,21.85,78.7,2.14,11.30,13.44
4,6.17,1.511,-4.347,63.934,-757.452,63.934,-0.52,2000.0,21.89,78.8,2.14,11.30,13.44
5,7.66,1.490,-4.335,63.926,-755.962,63.926,-0.52,2000.0,21.92,78.9,2.14,11.30,13.44
6,9.13,1.473,-4.323,63.918,-754.489,63.918,-0.52,2000.0,21.96,79.1,2.13,11.30,13.44
7,10.59,1.461,-4.311,63.911,-753.028,63.911,-0.53,2000.0,21.99,79.2,2.13,11.31,13.44
8,12.05,1.455,-4.300,63.903,-751.573,63.903,-0.52,2000.0,22.03,79.3,2.13,11.31,13.44
9,13.50,1.453,-4.289,63.896,-750.120,63.896,-0.53,2000.0,22.06,79.4,2.13,11.31,13.44
10,14.95,1.455,-4.279,63.888,-748.665,63.888,-0.52,2000.0,22.10,79.6,2.13,11.31,13.44
11,16.41,1.458,-4.269,63.880,-747.207,63.880,-0.52,2000.0,22.15,79.7,2.12,11.31,13.44
12,17.87,1.462,-4.259,63.873,-745.745,63.873,-0.52,2000.0,22.20,79.9,2.12,11.31,13.43
13,19.34,1.466,-4.250,63.865,-744.280,63.865,-0.51,2000.0,22.24,80.1,2.12,11.31,13.43
14,20.81,1.469,-4.241,63.858,-742.811,63.858,-0.51,2000.0,22.30,80.3,2.12,11.31,13.43
15,22.28,1.472,-4.233,63.850,-741.339,63.850,-0.51,2000.0,22.35,80.5,2.12,11.31,13.43
16,23.76,1.476,-4.224,63.843,-739.863,63.843,-0.51,2000.0,22.40,80.6,2.12,11.31,13.43
17,25.24,1.478,-4.216,63.835,-738.384,63.835,-0.52,2000.0,22.47,80.9,2.12,11.31,13.43
