index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m,normalizedDistance
0,0.00,1.632,-4.652,63.962,-764.065,63.962,0.00,2000.0,25.83,93.0,2.40,11.04,13.44,0.000000
1,1.63,1.633,-4.654,63.954,-762.433,63.954,-0.53,2000.0,26.30,94.7,2.42,11.02,13.44,0.000457
2,3.25,1.622,-4.656,63.945,-760.811,63.945,-0.54,2000.0,26.77,96.4,2.43,11.01,13.44,0.000912
3,4.86,1.602,-4.657,63.936,-759.209,63.936,-0.54,2000.0,27.25,98.1,2.44,11.00,13.44,0.001363
4,6.43,1.577,-4.659,63.928,-757.633,63.928,-0.54,2000.0,27.72,99.8,2.45,10.99,13.44,0.001804
5,7.98,1.551,-4.660,63.919,-756.082,63.919,-0.55,2000.0,28.19,101.5,2.46,10.98,13.44,0.002238
6,9.51,1.529,-4.661,63.911,-754.553,63.911,-0.55,2000.0,28.66,103.2,2.47,10.97,13.44,0.002668
7,11.02,1.512,-4.661,63.902,-753.041,63.902,-0.55,2000.0,29.14,104.9,2.48,10.96,13.44,0.003091
8,12.53,1.501,-4.661,63.894,-751.540,63.894,-0.55,2000.0,29.61,106.6,2.49,10.95,13.43,0.003515
9,14.02,1.495,-4.660,63.886,-750.045,63.886,-0.55,2000.0,30.08,108.3,2.50,10.94,13.43,0.003933
10,15.51,1.493,-4.659,63.878,-748.552,63.878,-0.55,2000.0,30.56,110.0,2.50,10.93,13.43,0.004351
11,17.01,1.494,-4.658,63.870,-747.058,63.870,-0.54,2000.0,30.59,110.1,2.51,10.92,13.43,0.004771
12,18.50,1.495,-4.657,63.862,-745.563,63.862,-0.54,2000.0,30.65,110.3,2.52,10.91,13.43,0.005189
13,20.00,1.497,-4.655,63.854,-744.066,63.854,-0.54,2000.0,30.69,110.5,2.52,10.91,13.43,0.005610
14,21.50,1.500,-4.653,63.846,-742.566,63.846,-0.53,2000.0,30.73,110.6,2.53,10.90,13.43,0.006031
15,23.00,1.502,-4.651,63.838,-741.064,63.838,-0.53,2000.0,30.79,110.8,2.54,10.89,13.43,0.006452
16,24.51,1.504,-4.649,63.830,-739.560,63.830,-0.53,2000.0,30.84,111.0,2.54,10.89,13.43,0.006875
17,26.01,1.506,-4.648,63.821,-738.054,63.821,-0.54,2000.0,30.88,111.2,2.55,10.88,13.43,0.007296
18,27.52,1.508,-4.646,63.813,-736.546,63.813,-0.55,2000.0,30.93,111.4,2.56,10.87,13.43,0.007719
19,29.03,1.511,-4.644,63.805,-735.036,63.805,-0.56,2000.0,30.97,111.5,2.56,10.87,13.43,0.008143
20,30.54,1.513,-4.642,63.796,-733.523,63.796,-0.57,2000.0,31.01,111.6,2.57,10.86,13.43,0.008567
21,32.06,1.515,-4.641,63.787,-732.008,63.787,-0.58,2000.0,31.07,111.9,2.57,10.85,13.43,0.008993
22,33.57,1.517,-4.639,63.779,-730.492,63.779,-0.59,2000.0,31.11,112.0,2.58,10.85,13.43,0.009417
23,35.09,1.519,-4.638,63.769,-728.973,63.769,-0.60,2000.0,31.17,112.2,2.59,10.84,13.43,0.009843
24,36.61,1.521,-4.636,63.760,-727.452,63.760,-0.61,2000.0,31.21,112.3,2.59,10.84,13.43,0.010269
25,41.29,4.674,-4.627,63.727,-722.778,63.727,-0.71,1192.8,31.26,112.5,2.61,10.82,13.43,0.011582
26,42.79,1.502,-4.622,63.716,-721.276,63.716,-0.71,2000.0,31.31,112.7,2.61,10.82,13.43,0.012003
27,44.29,1.504,-4.617,63.706,-719.773,63.706,-0.68,2000.0,31.34,112.8,2.61,10.82,13.43,0.012424
28,45.80,1.506,-4.610,63.697,-718.267,63.697,-0.63,2000.0,31.40,113.0,2.61,10.81,13.43,0.012847
29,47.31,1.508,-4.602,63.688,-716.759,63.688,-0.56,2000.0,31.43,113.1,2.61,10.81,13.43,0.013271
30,48.82,1.510,-4.594,63.681,-715.249,63.681,-0.51,2000.0,31.50,113.4,2.61,10.82,13.43,0.013694
31,50.33,1.512,-4.585,63.670,-713.737,63.670,-0.70,2000.0,31.51,113.4,2.61,10.82,13.43,0.014118
32,51.84,1.514,-4.574,63.662,-712.223,63.662,-0.55,2000.0,31.57,113.6,2.61,10.82,13.43,0.014541
33,53.36,1.516,-4.563,63.654,-710.707,63.654,-0.49,2000.0,31.61,113.8,2.60,10.82,13.43,0.014968
34,54.88,1.519,-4.551,63.644,-709.188,63.644,-0.67,2000.0,31.67,114.0,2.60,10.83,13.43,0.015394
35,56.40,1.521,-4.538,63.631,-707.667,63.631,-0.89,2000.0,31.71,114.1,2.59,10.83,13.43,0.015820
36,57.92,1.523,-4.524,63.616,-706.144,63.616,-0.94,2000.0,31.74,114.3,2.59,10.84,13.43,0.016247
37,59.45,1.524,-4.510,63.602,-704.620,63.602,-0.94,2000.0,31.77,114.4,2.58,10.85,13.43,0.016676
38,60.97,1.526,-4.496,63.591,-703.094,63.591,-0.72,2000.0,31.80,114.5,2.58,10.85,13.43,0.017102
39,62.50,1.528,-4.482,63.585,-701.566,63.585,-0.40,2000.0,31.88,114.8,2.57,10.86,13.43,0.017532
40,64.03,1.531,-4.468,63.576,-700.035,63.576,-0.57,2000.0,31.91,114.9,2.57,10.87,13.43,0.017961
41,65.57,1.533,-4.455,63.565,-698.502,63.565,-0.72,2000.0,31.96,115.1,2.56,10.87,13.43,0.018393
