index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.582,-5.072,63.953,-763.705,63.953,0.00,2000.0,22.85,82.3,2.82,10.61,13.44
1,1.58,1.580,-5.069,63.944,-762.125,63.944,-0.53,2000.0,23.12,83.2,2.83,10.61,13.44
2,3.15,1.568,-5.066,63.936,-760.557,63.936,-0.53,2000.0,23.38,84.2,2.84,10.60,13.44
3,4.70,1.549,-5.061,63.928,-759.009,63.928,-0.53,2000.0,23.64,85.1,2.84,10.59,13.44
4,6.22,1.525,-5.056,63.919,-757.483,63.919,-0.54,2000.0,23.91,86.1,2.85,10.59,13.44
5,7.72,1.503,-5.050,63.911,-755.981,63.911,-0.54,1964.7,24.17,87.0,2.85,10.59,13.43
6,9.21,1.484,-5.043,63.903,-754.497,63.903,-0.54,1881.7,24.43,88.0,2.85,10.58,13.43
7,10.68,1.471,-5.035,63.895,-753.026,63.895,-0.54,1921.0,24.70,88.9,2.85,10.58,13.43
8,12.14,1.464,-5.026,63.887,-751.562,63.887,-0.54,2000.0,24.96,89.9,2.85,10.58,13.43
9,13.60,1.461,-5.016,63.879,-750.102,63.879,-0.54,2000.0,25.22,90.8,2.85,10.58,13.43
10,15.06,1.461,-5.005,63.871,-748.641,63.871,-0.54,2000.0,25.49,91.8,2.85,10.58,13.43
11,16.53,1.464,-4.993,63.864,-747.177,63.864,-0.54,2000.0,25.54,92.0,2.84,10.59,13.43
12,18.00,1.467,-4.980,63.856,-745.710,63.856,-0.53,2000.0,25.62,92.2,2.84,10.59,13.43
13,19.47,1.470,-4.966,63.848,-744.240,63.848,-0.53,2000.0,25.68,92.4,2.83,10.60,13.43
14,20.94,1.474,-4.952,63.840,-742.766,63.840,-0.52,2000.0,25.73,92.6,2.83,10.60,13.43
15,22.42,1.478,-4.938,63.833,-741.288,63.833,-0.52,2000.0,25.82,92.9,2.82,10.61,13.43
16,23.90,1.481,-4.923,63.825,-739.807,63.825,-0.52,2000.0,25.88,93.2,2.81,10.61,13.43
17,25.38,1.484,-4.908,63.817,-738.323,63.817,-0.52,2000.0,25.94,93.4,2.81,10.62,13.43
18,26.87,1.488,-4.892,63.810,-736.835,63.810,-0.53,2000.0,26.01,93.6,2.80,10.63,13.43
19,28.36,1.491,-4.877,63.802,-735.344,63.802,-0.53,2000.0,26.06,93.8,2.79,10.64,13.43
20,29.86,1.494,-4.861,63.793,-733.850,63.793,-0.54,2000.0,26.12,94.0,2.78,10.64,13.43
21,31.35,1.497,-4.845,63.785,-732.353,63.785,-0.56,2000.0,26.22,94.4,2.78,10.65,13.43
22,32.85,1.500,-4.829,63.777,-730.854,63.777,-0.56,2000.0,26.26,94.5,2.77,10.66,13.43
23,34.35,1.501,-4.813,63.768,-729.353,63.768,-0.57,2000.0,26.33,94.8,2.76,10.67,13.43
