index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.501,-385.449,-5.990,233.024,-5.990,0.00,2000.0,,,0.00,0.00,0.00
1,1.50,1.501,-384.579,-5.972,231.802,-5.972,1.14,2000.0,,,0.00,0.00,0.00
2,3.00,1.501,-383.709,-5.955,230.579,-5.955,1.14,2000.0,,,0.00,0.00,0.00
3,4.50,1.500,-382.839,-5.938,229.356,-5.938,1.14,2000.0,,,0.00,0.00,0.00
4,6.00,1.500,-381.969,-5.921,228.134,-5.921,1.13,2000.0,,,0.00,0.00,0.00
5,7.50,1.500,-381.100,-5.904,226.912,-5.904,1.13,2000.0,,,0.00,0.00,0.00
6,9.00,1.500,-380.230,-5.888,225.691,-5.888,1.12,2000.0,,,0.00,0.00,0.00
7,10.50,1.500,-379.360,-5.871,224.469,-5.871,1.11,2000.0,,,0.00,0.00,0.00
8,12.00,1.500,-378.490,-5.854,223.248,-5.854,1.11,2000.0,,,0.00,0.00,0.00
9,13.50,1.500,-377.621,-5.838,222.026,-5.838,1.11,2000.0,,,0.00,0.00,0.00
10,15.00,1.500,-376.751,-5.821,220.805,-5.821,1.12,2000.0,,,0.00,0.00,0.00
11,16.50,1.500,-375.881,-5.804,219.583,-5.804,1.13,2000.0,,,0.00,0.00,0.00
12,18.00,1.500,-375.012,-5.787,218.361,-5.787,1.15,2000.0,,,0.00,0.00,0.00
13,19.50,1.500,-374.142,-5.769,217.139,-5.769,1.17,2000.0,,,0.00,0.00,0.00
14,21.00,1.500,-373.273,-5.751,215.916,-5.751,1.20,2000.0,,,0.00,0.00,0.00
15,22.50,1.500,-372.403,-5.732,214.694,-5.732,1.24,2000.0,,,0.00,0.00,0.00
16,24.00,1.500,-371.534,-5.713,213.472,-5.713,1.27,2000.0,,,0.00,0.00,0.00
17,25.50,1.500,-370.665,-5.694,212.249,-5.694,1.31,2000.0,,,0.00,0.00,0.00
18,27.00,1.500,-369.796,-5.673,211.027,-5.673,1.35,2000.0,,,0.00,0.00,0.00
19,28.50,1.500,-368.927,-5.653,209.804,-5.653,1.38,2000.0,,,0.00,0.00,0.00
20,30.00,1.500,-368.058,-5.631,208.582,-5.631,1.42,2000.0,,,0.00,0.00,0.00
21,31.50,1.500,-367.189,-5.610,207.359,-5.610,1.45,2000.0,,,0.00,0.00,0.00
22,33.00,1.484,-366.320,-5.587,206.137,-5.587,1.49,2000.0,,,0.00,0.00,0.00
23,34.49,1.460,-365.460,-5.565,204.928,-5.565,1.52,2000.0,,,0.00,0.00,0.00
24,35.95,1.462,-364.614,-5.543,203.738,-5.543,1.51,2000.0,,,0.00,0.00,0.00
25,37.41,1.719,-363.767,-5.521,202.548,-5.521,1.29,2000.0,,,0.00,0.00,0.00
26,39.13,1.500,-362.770,-5.495,201.148,-5.495,1.73,2000.0,,,0.00,0.00,0.00
27,40.63,1.376,-361.901,-5.473,199.926,-5.473,1.61,2000.0,,,0.00,0.00,0.00
28,42.00,1.500,-361.103,-5.455,198.805,-5.455,1.17,2000.0,,,0.00,0.00,0.00
29,43.50,1.500,-360.232,-5.437,197.583,-5.437,1.23,2000.0,,,0.00,0.00,0.00
30,45.00,1.500,-359.362,-5.421,196.362,-5.421,1.08,2000.0,,,0.00,0.00,0.00
31,46.50,1.503,-358.492,-5.405,195.140,-5.405,1.07,2000.0,,,0.00,0.00,0.00
32,48.01,1.498,-357.620,-5.386,193.916,-5.386,1.21,2000.0,,,0.00,0.00,0.00
33,49.50,1.500,-356.751,-5.368,192.697,-5.368,1.25,2000.0,,,0.00,0.00,0.00
34,51.00,1.500,-355.880,-5.346,191.476,-5.346,1.46,2000.0,,,0.00,0.00,0.00
35,52.50,1.500,-355.009,-5.322,190.255,-5.322,1.58,2000.0,,,0.00,0.00,0.00
36,54.00,1.500,-354.138,-5.298,189.034,-5.298,1.59,2000.0,,,0.00,0.00,0.00
37,55.51,1.500,-353.267,-5.273,187.814,-5.273,1.66,2000.0,,,0.00,0.00,0.00
38,57.01,1.500,-352.395,-5.250,186.593,-5.250,1.52,2000.0,,,0.00,0.00,0.00
39,58.51,1.500,-351.524,-5.230,185.373,-5.230,1.36,2000.0,,,0.00,0.00,0.00
40,60.01,1.500,-350.652,-5.211,184.152,-5.211,1.25,2000.0,,,0.00,0.00,0.00
41,61.51,1.500,-349.780,-5.195,182.932,-5.195,1.05,2000.0,,,0.00,0.00,0.00
42,63.01,1.500,-348.908,-5.179,181.711,-5.179,1.12,2000.0,,,0.00,0.00,0.00
43,64.51,1.500,-348.036,-5.163,180.491,-5.163,1.08,2000.0,,,0.00,0.00,0.00
44,66.01,1.500,-347.164,-5.146,179.271,-5.146,1.12,2000.0,,,0.00,0.00,0.00
45,67.51,1.500,-346.292,-5.127,178.051,-5.127,1.24,2000.0,,,0.00,0.00,0.00
46,69.01,1.500,-345.419,-5.108,176.831,-5.108,1.29,2000.0,,,0.00,0.00,0.00
47,70.51,1.500,-344.547,-5.087,175.611,-5.087,1.39,2000.0,,,0.00,0.00,0.00
48,72.01,1.500,-343.674,-5.066,174.391,-5.066,1.36,2000.0,,,0.00,0.00,0.00
49,73.51,1.505,-342.801,-5.048,173.171,-5.048,1.24,2000.0,,,0.00,0.00,0.00
50,75.01,1.501,-341.926,-5.030,171.948,-5.030,1.19,2000.0,,,0.00,0.00,0.00
51,76.51,1.495,-341.053,-5.013,170.727,-5.013,1.16,2000.0,,,0.00,0.00,0.00
52,78.01,1.500,-340.184,-4.995,169.511,-4.995,1.17,2000.0,,,0.00,0.00,0.00
53,79.51,1.500,-339.311,-4.976,168.291,-4.976,1.27,2000.0,,,0.00,0.00,0.00
54,81.01,1.500,-338.440,-4.957,167.071,-4.957,1.29,2000.0,,,0.00,0.00,0.00
55,82.51,1.500,-337.568,-4.937,165.850,-4.937,1.33,2000.0,,,0.00,0.00,0.00
56,84.01,1.500,-336.698,-4.916,164.629,-4.916,1.42,2000.0,,,0.00,0.00,0.00
57,85.51,1.500,-335.828,-4.893,163.407,-4.893,1.48,2000.0,,,0.00,0.00,0.00
58,87.01,1.500,-334.958,-4.870,162.185,-4.870,1.56,2000.0,,,0.00,0.00,0.00
59,88.51,1.500,-334.089,-4.847,160.962,-4.847,1.50,2000.0,,,0.00,0.00,0.00
60,90.01,1.500,-333.221,-4.825,159.740,-4.825,1.49,2000.0,,,0.00,0.00,0.00
61,91.51,1.500,-332.353,-4.803,158.517,-4.803,1.46,2000.0,,,0.00,0.00,0.00
62,93.01,1.500,-331.485,-4.782,157.293,-4.782,1.42,2000.0,,,0.00,0.00,0.00
63,94.51,1.500,-330.617,-4.760,156.070,-4.760,1.46,2000.0,,,0.00,0.00,0.00
64,96.01,1.500,-329.749,-4.737,154.846,-4.737,1.51,2000.0,,,0.00,0.00,0.00
65,97.51,1.500,-328.881,-4.715,153.624,-4.715,1.52,2000.0,,,0.00,0.00,0.00
66,99.01,1.500,-328.012,-4.691,152.401,-4.691,1.58,2000.0,,,0.00,0.00,0.00
67,100.51,1.500,-327.143,-4.667,151.179,-4.667,1.56,2000.0,,,0.00,0.00,0.00
68,102.01,1.500,-326.273,-4.644,149.957,-4.644,1.55,2000.0,,,0.00,0.00,0.00
69,103.51,1.500,-325.403,-4.621,148.735,-4.621,1.55,2000.0,,,0.00,0.00,0.00
70,105.01,1.500,-324.533,-4.598,147.513,-4.598,1.55,2000.0,,,0.00,0.00,0.00
71,106.51,1.500,-323.662,-4.574,146.293,-4.574,1.56,2000.0,,,0.00,0.00,0.00
72,108.01,1.500,-322.790,-4.552,145.072,-4.552,1.45,2000.0,,,0.00,0.00,0.00
73,109.51,1.506,-321.918,-4.531,143.852,-4.531,1.40,2000.0,,,0.00,0.00,0.00
74,111.02,1.496,-321.042,-4.514,142.628,-4.514,1.19,2000.0,,,0.00,0.00,0.00
75,112.51,1.498,-320.170,-4.496,141.412,-4.496,1.20,2000.0,,,0.00,0.00,0.00
76,114.01,1.500,-319.297,-4.478,140.195,-4.478,1.16,2000.0,,,0.00,0.00,0.00
77,115.51,1.500,-318.422,-4.461,138.976,-4.461,1.16,2000.0,,,0.00,0.00,0.00
78,117.01,1.500,-317.546,-4.440,137.759,-4.440,1.39,2000.0,,,0.00,0.00,0.00
79,118.51,1.500,-316.670,-4.419,136.541,-4.419,1.42,2000.0,,,0.00,0.00,0.00
80,120.01,1.500,-315.794,-4.394,135.324,-4.394,1.65,2000.0,,,0.00,0.00,0.00
81,121.51,1.500,-314.917,-4.369,134.108,-4.369,1.66,2000.0,,,0.00,0.00,0.00
82,123.01,1.500,-314.039,-4.345,132.891,-4.345,1.57,2000.0,,,0.00,0.00,0.00
83,124.51,1.500,-313.162,-4.322,131.675,-4.322,1.59,2000.0,,,0.00,0.00,0.00
84,126.01,1.500,-312.284,-4.300,130.459,-4.300,1.43,2000.0,,,0.00,0.00,0.00
85,127.51,1.500,-311.406,-4.280,129.243,-4.280,1.36,2000.0,,,0.00,0.00,0.00
86,129.01,1.500,-310.529,-4.261,128.026,-4.261,1.27,2000.0,,,0.00,0.00,0.00
87,130.51,1.500,-309.652,-4.243,126.809,-4.243,1.21,2000.0,,,0.00,0.00,0.00
88,132.01,1.500,-308.776,-4.221,125.592,-4.221,1.42,2000.0,,,0.00,0.00,0.00
89,133.51,1.500,-307.901,-4.198,124.374,-4.198,1.52,2000.0,,,0.00,0.00,0.00
90,135.01,1.500,-307.025,-4.173,123.156,-4.173,1.72,2000.0,,,0.00,0.00,0.00
91,136.51,1.500,-306.150,-4.145,121.938,-4.145,1.86,2000.0,,,0.00,0.00,0.00
92,138.01,1.500,-305.275,-4.117,120.720,-4.117,1.82,2000.0,,,0.00,0.00,0.00
93,139.51,1.500,-304.401,-4.090,119.501,-4.090,1.83,2000.0,,,0.00,0.00,0.00
94,141.01,1.500,-303.528,-4.063,118.282,-4.063,1.78,2000.0,,,0.00,0.00,0.00
95,142.51,1.500,-302.655,-4.038,117.062,-4.038,1.68,2000.0,,,0.00,0.00,0.00
96,144.01,1.500,-301.783,-4.013,115.842,-4.013,1.65,2000.0,,,0.00,0.00,0.00
97,145.51,1.500,-300.911,-3.989,114.622,-3.989,1.64,2000.0,,,0.00,0.00,0.00
98,147.01,1.500,-300.040,-3.964,113.401,-3.964,1.67,2000.0,,,0.00,0.00,0.00
99,148.51,1.500,-299.168,-3.938,112.181,-3.938,1.69,2000.0,,,0.00,0.00,0.00
100,150.01,1.500,-298.296,-3.914,110.961,-3.914,1.62,2000.0,,,0.00,0.00,0.00
101,151.51,1.501,-297.424,-3.891,109.740,-3.891,1.54,2000.0,,,0.00,0.00,0.00
102,153.01,1.500,-296.552,-3.868,108.519,-3.868,1.53,2000.0,,,0.00,0.00,0.00
103,154.51,1.500,-295.680,-3.845,107.299,-3.845,1.54,2000.0,,,0.00,0.00,0.00
104,156.01,1.500,-294.808,-3.822,106.078,-3.822,1.51,2000.0,,,0.00,0.00,0.00
105,157.52,1.498,-293.936,-3.800,104.858,-3.800,1.49,2000.0,,,0.00,0.00,0.00
106,159.01,1.496,-293.066,-3.778,103.639,-3.778,1.43,2000.0,,,0.00,0.00,0.00
107,160.51,1.506,-292.196,-3.757,102.421,-3.757,1.41,2000.0,,,0.00,0.00,0.00
108,162.02,1.500,-291.321,-3.735,101.196,-3.735,1.43,2000.0,,,0.00,0.00,0.00
109,163.52,1.500,-290.449,-3.714,99.976,-3.714,1.43,2000.0,,,0.00,0.00,0.00
110,165.02,1.500,-289.578,-3.694,98.756,-3.694,1.33,2000.0,,,0.00,0.00,0.00
111,166.52,1.500,-288.706,-3.675,97.535,-3.675,1.26,2000.0,,,0.00,0.00,0.00
112,168.02,1.500,-287.834,-3.658,96.315,-3.658,1.12,2000.0,,,0.00,0.00,0.00
113,169.52,1.500,-286.962,-3.640,95.095,-3.640,1.19,2000.0,,,0.00,0.00,0.00
114,171.02,1.500,-286.090,-3.624,93.874,-3.624,1.12,2000.0,,,0.00,0.00,0.00
115,172.52,1.500,-285.218,-3.607,92.654,-3.607,1.11,2000.0,,,0.00,0.00,0.00
116,174.02,1.499,-284.346,-3.591,91.434,-3.591,1.07,2000.0,,,0.00,0.00,0.00
117,175.51,1.501,-283.474,-3.575,90.215,-3.575,1.08,2000.0,,,0.00,0.00,0.00
118,177.02,1.501,-282.601,-3.558,88.994,-3.558,1.12,2000.0,,,0.00,0.00,0.00
119,178.52,1.500,-281.728,-3.541,87.773,-3.541,1.13,2000.0,,,0.00,0.00,0.00
120,180.02,1.500,-280.855,-3.524,86.553,-3.524,1.13,2000.0,,,0.00,0.00,0.00
121,181.52,1.500,-279.983,-3.508,85.333,-3.508,1.06,2000.0,,,0.00,0.00,0.00
122,183.02,1.500,-279.110,-3.493,84.113,-3.493,0.98,2000.0,,,0.00,0.00,0.00
123,184.52,1.500,-278.238,-3.479,82.893,-3.479,0.97,2000.0,,,0.00,0.00,0.00
124,186.02,1.500,-277.365,-3.464,81.673,-3.464,1.02,2000.0,,,0.00,0.00,0.00
125,187.52,1.500,-276.493,-3.446,80.452,-3.446,1.16,2000.0,,,0.00,0.00,0.00
126,189.02,1.495,-275.621,-3.429,79.232,-3.429,1.17,2000.0,,,0.00,0.00,0.00
127,190.51,1.503,-274.752,-3.410,78.016,-3.410,1.28,2000.0,,,0.00,0.00,0.00
128,192.02,1.503,-273.879,-3.390,76.794,-3.390,1.30,2000.0,,,0.00,0.00,0.00
129,193.52,1.500,-273.005,-3.370,75.571,-3.370,1.33,2000.0,,,0.00,0.00,0.00
130,195.02,1.500,-272.133,-3.349,74.351,-3.349,1.42,2000.0,,,0.00,0.00,0.00
131,196.52,1.500,-271.261,-3.326,73.131,-3.326,1.50,1860.7,,,0.00,0.00,0.00
132,198.02,1.500,-270.389,-3.302,71.911,-3.302,1.66,1673.5,,,0.00,0.00,0.00
133,199.52,1.500,-269.517,-3.276,70.690,-3.276,1.71,1465.1,,,0.00,0.00,0.00
134,201.02,1.500,-268.645,-3.249,69.471,-3.249,1.79,1234.7,,,0.00,0.00,0.00
135,202.52,1.500,-267.770,-3.221,68.252,-3.221,1.87,990.3,,,0.00,0.00,0.00
136,204.02,1.500,-266.893,-3.194,67.036,-3.194,1.83,739.1,,,0.00,0.00,0.00
137,205.52,1.500,-266.012,-3.166,65.822,-3.166,1.85,483.4,,,0.00,0.00,0.00
138,207.02,1.500,-265.127,-3.139,64.611,-3.139,1.80,364.5,,,0.00,0.00,0.00
139,208.52,1.500,-264.236,-3.112,63.405,-3.112,1.79,292.9,,,0.00,0.00,0.00
140,210.02,1.500,-263.337,-3.085,62.205,-3.085,1.83,241.7,,,0.00,0.00,0.00
141,211.52,1.500,-262.429,-3.057,61.011,-3.057,1.84,212.2,,,0.00,0.00,0.00
142,213.02,1.500,-261.512,-3.030,59.824,-3.030,1.80,196.3,,,0.00,0.00,0.00
143,214.52,1.500,-260.586,-3.003,58.644,-3.003,1.77,187.4,,,0.00,0.00,0.00
144,216.02,1.500,-259.650,-2.977,57.472,-2.977,1.78,182.7,,,0.00,0.00,0.00
145,217.52,1.500,-258.704,-2.949,56.308,-2.949,1.84,180.9,,,0.00,0.00,0.00
146,219.02,1.500,-257.749,-2.921,55.152,-2.921,1.91,179.4,,,0.00,0.00,0.00
147,220.52,1.500,-256.784,-2.892,54.004,-2.892,1.91,180.7,,,0.00,0.00,0.00
148,222.02,1.500,-255.809,-2.862,52.864,-2.862,1.96,185.5,,,0.00,0.00,0.00
149,223.52,1.500,-254.825,-2.834,51.733,-2.834,1.92,194.5,,,0.00,0.00,0.00
150,225.02,1.500,-253.832,-2.805,50.609,-2.805,1.94,204.8,,,0.00,0.00,0.00
151,226.52,1.500,-252.829,-2.775,49.494,-2.775,1.94,215.6,,,0.00,0.00,0.00
152,228.02,1.505,-251.819,-2.746,48.385,-2.746,1.94,226.7,,,0.00,0.00,0.00
153,229.53,1.497,-250.799,-2.718,47.279,-2.718,1.87,238.9,,,0.00,0.00,0.00
154,231.02,1.499,-249.777,-2.691,46.186,-2.691,1.84,250.5,,,0.00,0.00,0.00
155,232.52,1.500,-248.748,-2.663,45.097,-2.663,1.84,257.5,,,0.00,0.00,0.00
156,234.02,1.500,-247.712,-2.636,44.012,-2.636,1.79,260.2,,,0.00,0.00,0.00
157,235.52,1.500,-246.669,-2.609,42.934,-2.609,1.81,259.0,,,0.00,0.00,0.00
158,237.02,1.500,-245.621,-2.584,41.862,-2.584,1.67,253.8,,,0.00,0.00,0.00
159,238.52,1.500,-244.566,-2.561,40.795,-2.561,1.57,246.6,,,0.00,0.00,0.00
160,240.02,1.500,-243.505,-2.538,39.735,-2.538,1.55,237.2,,,0.00,0.00,0.00
161,241.52,1.500,-242.438,-2.515,38.681,-2.515,1.53,225.0,,,0.00,0.00,0.00
162,243.02,1.500,-241.363,-2.491,37.635,-2.491,1.56,213.0,,,0.00,0.00,0.00
163,244.52,1.500,-240.281,-2.467,36.596,-2.467,1.59,201.2,,,0.00,0.00,0.00
164,246.02,1.500,-239.191,-2.443,35.566,-2.443,1.65,193.0,,,0.00,0.00,0.00
165,247.52,1.500,-238.092,-2.417,34.544,-2.417,1.71,188.4,,,0.00,0.00,0.00
166,249.02,1.500,-236.986,-2.389,33.532,-2.389,1.84,184.1,,,0.00,0.00,0.00
