index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.599,-384.709,-5.992,233.335,-5.992,0.00,2000.0,,,0.00,0.00,0.00
1,1.60,1.590,-383.778,-5.974,232.036,-5.974,1.13,2000.0,,,0.00,0.00,0.00
2,3.19,1.574,-382.852,-5.956,230.744,-5.956,1.14,2000.0,,,0.00,0.00,0.00
3,4.76,1.554,-381.935,-5.938,229.465,-5.938,1.14,2000.0,,,0.00,0.00,0.00
4,6.32,1.534,-381.030,-5.921,228.202,-5.921,1.13,2000.0,,,0.00,0.00,0.00
5,7.85,1.517,-380.137,-5.904,226.955,-5.904,1.13,2000.0,,,0.00,0.00,0.00
6,9.37,1.505,-379.254,-5.887,225.722,-5.887,1.12,2000.0,,,0.00,0.00,0.00
7,10.87,1.499,-378.377,-5.870,224.499,-5.870,1.11,2000.0,,,0.00,0.00,0.00
8,12.37,1.496,-377.504,-5.854,223.281,-5.854,1.11,2000.0,,,0.00,0.00,0.00
9,13.87,1.497,-376.632,-5.837,222.065,-5.837,1.11,2000.0,,,0.00,0.00,0.00
10,15.36,1.498,-375.760,-5.820,220.850,-5.820,1.12,2000.0,,,0.00,0.00,0.00
11,16.86,1.500,-374.887,-5.803,219.633,-5.803,1.14,2000.0,,,0.00,0.00,0.00
12,18.36,1.502,-374.013,-5.786,218.414,-5.786,1.16,2000.0,,,0.00,0.00,0.00
13,19.86,1.503,-373.137,-5.768,217.194,-5.768,1.19,2000.0,,,0.00,0.00,0.00
14,21.37,1.504,-372.261,-5.749,215.973,-5.749,1.22,2000.0,,,0.00,0.00,0.00
15,22.87,1.505,-371.385,-5.731,214.751,-5.731,1.25,2000.0,,,0.00,0.00,0.00
16,24.38,1.506,-370.508,-5.711,213.528,-5.711,1.29,2000.0,,,0.00,0.00,0.00
17,25.88,1.506,-369.631,-5.691,212.304,-5.691,1.33,2000.0,,,0.00,0.00,0.00
18,27.39,1.506,-368.754,-5.671,211.080,-5.671,1.36,2000.0,,,0.00,0.00,0.00
19,28.89,1.506,-367.877,-5.650,209.856,-5.650,1.40,2000.0,,,0.00,0.00,0.00
20,30.40,1.506,-367.000,-5.628,208.631,-5.628,1.43,2000.0,,,0.00,0.00,0.00
21,31.91,1.504,-366.123,-5.606,207.408,-5.606,1.45,2000.0,,,0.00,0.00,0.00
22,33.41,1.500,-365.248,-5.584,206.186,-5.584,1.48,2000.0,,,0.00,0.00,0.00
23,34.91,1.493,-364.374,-5.562,204.967,-5.562,1.50,2000.0,,,0.00,0.00,0.00
24,36.40,4.463,-363.505,-5.539,203.754,-5.539,0.50,2000.0,,,0.00,0.00,0.00
25,40.87,1.505,-360.902,-5.474,200.129,-5.474,4.36,2000.0,,,0.00,0.00,0.00
26,42.37,1.506,-360.023,-5.455,198.908,-5.455,1.23,2000.0,,,0.00,0.00,0.00
27,43.88,1.507,-359.143,-5.437,197.685,-5.437,1.20,2000.0,,,0.00,0.00,0.00
28,45.38,1.508,-358.263,-5.421,196.463,-5.421,1.07,2000.0,,,0.00,0.00,0.00
29,46.89,1.509,-357.382,-5.405,195.239,-5.405,1.07,2000.0,,,0.00,0.00,0.00
30,48.40,1.509,-356.500,-5.386,194.016,-5.386,1.25,2000.0,,,0.00,0.00,0.00
31,49.91,1.510,-355.617,-5.367,192.792,-5.367,1.28,2000.0,,,0.00,0.00,0.00
32,51.42,1.510,-354.734,-5.344,191.568,-5.344,1.50,2000.0,,,0.00,0.00,0.00
33,52.93,1.511,-353.850,-5.321,190.343,-5.321,1.58,2000.0,,,0.00,0.00,0.00
34,54.44,1.512,-352.966,-5.297,189.118,-5.297,1.58,2000.0,,,0.00,0.00,0.00
35,55.95,1.513,-352.081,-5.272,187.893,-5.272,1.62,2000.0,,,0.00,0.00,0.00
36,57.47,1.513,-351.196,-5.250,186.667,-5.250,1.43,2000.0,,,0.00,0.00,0.00
37,58.98,1.514,-350.311,-5.231,185.440,-5.231,1.31,2000.0,,,0.00,0.00,0.00
38,60.49,1.515,-349.425,-5.213,184.213,-5.213,1.17,2000.0,,,0.00,0.00,0.00
39,62.01,1.515,-348.538,-5.197,182.985,-5.197,1.03,2000.0,,,0.00,0.00,0.00
40,63.52,1.516,-347.652,-5.180,181.757,-5.180,1.12,2000.0,,,0.00,0.00,0.00
41,65.04,1.516,-346.765,-5.164,180.528,-5.164,1.08,2000.0,,,0.00,0.00,0.00
42,66.55,1.517,-345.878,-5.147,179.299,-5.147,1.13,2000.0,,,0.00,0.00,0.00
43,68.07,1.517,-344.991,-5.128,178.069,-5.128,1.24,1966.4,,,0.00,0.00,0.00
44,69.59,1.518,-344.103,-5.109,176.839,-5.109,1.28,1897.9,,,0.00,0.00,0.00
45,71.11,1.518,-343.214,-5.088,175.609,-5.088,1.39,1839.5,,,0.00,0.00,0.00
46,72.62,1.519,-342.326,-5.068,174.378,-5.068,1.30,1835.0,,,0.00,0.00,0.00
