index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.793,72.781,0.952,-850.799,0.952,0.00,2000.0,,,0.00,0.00,0.00
1,1.79,1.780,74.560,0.963,-851.014,0.963,0.59,2000.0,,,0.00,0.00,0.00
2,3.57,1.756,76.326,0.973,-851.227,0.973,0.61,2000.0,,,0.00,0.00,0.00
3,5.33,1.726,78.068,0.984,-851.438,0.984,0.62,2000.0,,,0.00,0.00,0.00
4,7.06,1.695,79.780,0.995,-851.644,0.995,0.63,2000.0,,,0.00,0.00,0.00
5,8.75,1.667,81.461,1.005,-851.846,1.005,0.64,2000.0,,,0.00,0.00,0.00
6,10.42,1.645,83.115,1.016,-852.044,1.016,0.64,2000.0,,,0.00,0.00,0.00
7,12.06,1.630,84.746,1.027,-852.240,1.027,0.64,2000.0,,,0.00,0.00,0.00
8,13.69,1.620,86.363,1.037,-852.432,1.037,0.64,2000.0,,,0.00,0.00,0.00
9,15.31,1.615,87.971,1.047,-852.623,1.047,0.63,2000.0,,,0.00,0.00,0.00
10,16.93,1.613,89.573,1.057,-852.813,1.057,0.62,2000.0,,,0.00,0.00,0.00
11,18.54,1.612,91.174,1.067,-853.002,1.067,0.61,2000.0,,,0.00,0.00,0.00
12,20.15,1.613,92.774,1.077,-853.190,1.077,0.60,2000.0,,,0.00,0.00,0.00
13,21.76,1.614,94.375,1.086,-853.378,1.086,0.59,2000.0,,,0.00,0.00,0.00
14,23.38,1.615,95.976,1.096,-853.565,1.096,0.59,2000.0,,,0.00,0.00,0.00
15,24.99,1.616,97.579,1.105,-853.752,1.105,0.58,2000.0,,,0.00,0.00,0.00
16,26.61,1.617,99.182,1.115,-853.939,1.115,0.58,2000.0,,,0.00,0.00,0.00
17,28.23,1.618,100.787,1.124,-854.126,1.124,0.59,2000.0,,,0.00,0.00,0.00
18,29.84,1.619,102.393,1.134,-854.313,1.134,0.59,2000.0,,,0.00,0.00,0.00
19,31.46,1.620,103.999,1.143,-854.499,1.143,0.60,2000.0,,,0.00,0.00,0.00
20,33.08,1.621,105.607,1.153,-854.685,1.153,0.61,2000.0,,,0.00,0.00,0.00
21,34.70,1.622,107.216,1.163,-854.872,1.163,0.62,2000.0,,,0.00,0.00,0.00
22,36.33,1.624,108.827,1.173,-855.057,1.173,0.62,2000.0,,,0.00,0.00,0.00
23,37.95,1.625,110.438,1.183,-855.243,1.183,0.62,2000.0,,,0.00,0.00,0.00
24,39.57,4.979,112.051,1.194,-855.429,1.194,0.20,2000.0,,,0.00,0.00,0.00
25,44.55,1.697,116.996,1.223,-855.997,1.223,1.75,2000.0,,,0.00,0.00,0.00
26,46.25,1.698,118.681,1.232,-856.190,1.232,0.50,2000.0,,,0.00,0.00,0.00
27,47.95,1.700,120.367,1.241,-856.383,1.241,0.53,2000.0,,,0.00,0.00,0.00
28,49.65,1.701,122.054,1.252,-856.576,1.252,0.66,2000.0,,,0.00,0.00,0.00
29,51.35,1.702,123.743,1.265,-856.769,1.265,0.78,2000.0,,,0.00,0.00,0.00
30,53.05,1.703,125.433,1.279,-856.962,1.279,0.79,2000.0,,,0.00,0.00,0.00
31,54.76,1.704,127.124,1.290,-857.154,1.290,0.68,2000.0,,,0.00,0.00,0.00
32,56.46,1.705,128.816,1.300,-857.347,1.300,0.54,2000.0,,,0.00,0.00,0.00
33,58.16,1.707,130.510,1.308,-857.539,1.308,0.49,2000.0,,,0.00,0.00,0.00
34,59.87,1.708,132.204,1.318,-857.731,1.318,0.55,2000.0,,,0.00,0.00,0.00
35,61.58,1.709,133.900,1.328,-857.922,1.328,0.64,2000.0,,,0.00,0.00,0.00
36,63.29,1.711,135.597,1.340,-858.114,1.340,0.66,2000.0,,,0.00,0.00,0.00
37,65.00,1.711,137.296,1.350,-858.305,1.350,0.61,2000.0,,,0.00,0.00,0.00
38,66.71,1.710,138.995,1.360,-858.495,1.360,0.57,2000.0,,,0.00,0.00,0.00
39,68.42,1.706,140.694,1.369,-858.686,1.369,0.55,2000.0,,,0.00,0.00,0.00
40,70.13,1.697,142.387,1.379,-858.875,1.379,0.55,2000.0,,,0.00,0.00,0.00
41,71.82,1.687,144.073,1.388,-859.063,1.388,0.54,2000.0,,,0.00,0.00,0.00
42,73.51,1.675,145.747,1.397,-859.250,1.397,0.54,2000.0,,,0.00,0.00,0.00
43,75.19,1.664,147.411,1.406,-859.435,1.406,0.53,2000.0,,,0.00,0.00,0.00
44,76.85,1.653,149.064,1.414,-859.619,1.414,0.51,2000.0,,,0.00,0.00,0.00
45,78.50,1.642,150.706,1.422,-859.802,1.422,0.46,2000.0,,,0.00,0.00,0.00
46,80.15,1.629,152.336,1.429,-859.983,1.429,0.43,2000.0,,,0.00,0.00,0.00
47,81.77,1.616,153.955,1.436,-860.163,1.436,0.47,2000.0,,,0.00,0.00,0.00
48,83.39,1.603,155.559,1.446,-860.341,1.446,0.60,2000.0,,,0.00,0.00,0.00
49,84.99,1.591,157.151,1.458,-860.517,1.458,0.77,2000.0,,,0.00,0.00,0.00
50,86.58,1.580,158.731,1.472,-860.692,1.472,0.88,2000.0,,,0.00,0.00,0.00
51,88.17,1.571,160.300,1.486,-860.866,1.486,0.92,2000.0,,,0.00,0.00,0.00
52,89.74,1.562,161.860,1.500,-861.038,1.500,0.84,2000.0,,,0.00,0.00,0.00
53,91.30,1.552,163.411,1.511,-861.209,1.511,0.71,2000.0,,,0.00,0.00,0.00
54,92.85,1.541,164.953,1.520,-861.379,1.520,0.59,2000.0,,,0.00,0.00,0.00
55,94.39,1.528,166.483,1.528,-861.548,1.528,0.57,2000.0,,,0.00,0.00,0.00
56,95.92,1.516,168.001,1.538,-861.715,1.538,0.64,2000.0,,,0.00,0.00,0.00
57,97.44,1.506,169.506,1.549,-861.880,1.549,0.74,2000.0,,,0.00,0.00,0.00
58,98.94,1.711,171.002,1.561,-862.044,1.561,0.69,2000.0,,,0.00,0.00,0.00
59,100.65,1.699,172.701,1.574,-862.230,1.574,0.78,2000.0,,,0.00,0.00,0.00
60,102.35,1.687,174.389,1.588,-862.414,1.588,0.80,2000.0,,,0.00,0.00,0.00
61,104.04,1.675,176.064,1.602,-862.597,1.602,0.85,2000.0,,,0.00,0.00,0.00
62,105.71,1.665,177.728,1.617,-862.779,1.617,0.90,2000.0,,,0.00,0.00,0.00
63,107.38,1.655,179.382,1.631,-862.959,1.631,0.88,2000.0,,,0.00,0.00,0.00
64,109.03,1.644,181.026,1.643,-863.138,1.643,0.72,2000.0,,,0.00,0.00,0.00
65,110.68,1.633,182.659,1.652,-863.316,1.652,0.56,2000.0,,,0.00,0.00,0.00
66,112.31,1.620,184.281,1.660,-863.493,1.660,0.44,2000.0,,,0.00,0.00,0.00
67,113.93,1.607,185.890,1.667,-863.668,1.667,0.44,2000.0,,,0.00,0.00,0.00
68,115.54,1.595,187.486,1.675,-863.842,1.675,0.52,2000.0,,,0.00,0.00,0.00
69,117.13,1.582,189.069,1.684,-864.015,1.684,0.60,2000.0,,,0.00,0.00,0.00
70,118.71,1.570,190.641,1.694,-864.187,1.694,0.63,2000.0,,,0.00,0.00,0.00
71,120.28,1.557,192.200,1.704,-864.357,1.704,0.61,2000.0,,,0.00,0.00,0.00
72,121.84,1.544,193.746,1.713,-864.526,1.713,0.56,2000.0,,,0.00,0.00,0.00
73,123.38,1.531,195.280,1.720,-864.694,1.720,0.50,2000.0,,,0.00,0.00,0.00
74,124.92,1.518,196.800,1.727,-864.861,1.727,0.47,2000.0,,,0.00,0.00,0.00
75,126.43,1.505,198.308,1.734,-865.026,1.734,0.47,2000.0,,,0.00,0.00,0.00
76,127.94,1.677,199.802,1.742,-865.190,1.742,0.45,2000.0,,,0.00,0.00,0.00
77,129.62,1.662,201.468,1.751,-865.373,1.751,0.54,2000.0,,,0.00,0.00,0.00
78,131.28,1.647,203.119,1.760,-865.554,1.760,0.51,2000.0,,,0.00,0.00,0.00
79,132.92,1.632,204.754,1.767,-865.734,1.767,0.46,2000.0,,,0.00,0.00,0.00
80,134.56,1.617,206.375,1.774,-865.911,1.774,0.44,2000.0,,,0.00,0.00,0.00
81,136.17,1.603,207.982,1.782,-866.086,1.782,0.46,2000.0,,,0.00,0.00,0.00
82,137.78,1.589,209.574,1.789,-866.259,1.789,0.48,1930.8,,,0.00,0.00,0.00
83,139.37,1.575,211.152,1.797,-866.430,1.797,0.46,1805.3,,,0.00,0.00,0.00
84,140.94,1.561,212.717,1.803,-866.599,1.803,0.43,1671.9,,,0.00,0.00,0.00
85,142.50,1.547,214.268,1.809,-866.765,1.809,0.39,1509.5,,,0.00,0.00,0.00
86,144.05,1.533,215.804,1.816,-866.927,1.816,0.42,1308.8,,,0.00,0.00,0.00
87,145.58,1.521,217.328,1.823,-867.087,1.823,0.46,1087.2,,,0.00,0.00,0.00
88,147.10,1.508,218.839,1.829,-867.242,1.829,0.41,854.5,,,0.00,0.00,0.00
89,148.61,1.661,220.338,1.834,-867.394,1.834,0.28,683.0,,,0.00,0.00,0.00
90,150.27,1.645,221.990,1.838,-867.557,1.838,0.26,562.1,,,0.00,0.00,0.00
91,151.92,1.631,223.627,1.843,-867.713,1.843,0.32,445.4,,,0.00,0.00,0.00
92,153.55,1.618,225.250,1.849,-867.860,1.849,0.39,352.0,,,0.00,0.00,0.00
93,155.17,1.605,226.860,1.856,-867.997,1.856,0.40,291.8,,,0.00,0.00,0.00
94,156.77,1.593,228.459,1.862,-868.124,1.862,0.37,248.4,,,0.00,0.00,0.00
95,158.36,1.579,230.046,1.866,-868.240,1.866,0.29,215.6,,,0.00,0.00,0.00
96,159.94,1.566,231.621,1.870,-868.343,1.870,0.27,191.9,,,0.00,0.00,0.00
97,161.51,1.557,233.183,1.876,-868.430,1.876,0.33,172.1,,,0.00,0.00,0.00
98,163.07,1.553,234.737,1.882,-868.501,1.882,0.43,153.6,,,0.00,0.00,0.00
99,164.62,1.553,236.288,1.889,-868.555,1.889,0.41,139.6,,,0.00,0.00,0.00
100,166.17,1.554,237.839,1.893,-868.592,1.893,0.30,131.8,,,0.00,0.00,0.00
101,167.73,1.554,239.391,1.897,-868.612,1.897,0.22,129.7,,,0.00,0.00,0.00
102,169.28,1.555,240.943,1.901,-868.612,1.901,0.30,128.7,,,0.00,0.00,0.00
103,170.83,1.555,242.497,1.908,-868.589,1.908,0.46,125.2,,,0.00,0.00,0.00
104,172.39,1.556,244.050,1.917,-868.547,1.917,0.53,122.5,,,0.00,0.00,0.00
105,173.95,1.556,245.603,1.924,-868.486,1.924,0.48,124.0,,,0.00,0.00,0.00
106,175.50,1.557,247.156,1.930,-868.408,1.930,0.40,128.4,,,0.00,0.00,0.00
107,177.06,1.557,248.708,1.937,-868.310,1.937,0.43,131.4,,,0.00,0.00,0.00
108,178.61,1.556,250.259,1.945,-868.191,1.945,0.53,130.9,,,0.00,0.00,0.00
109,180.17,1.556,251.807,1.954,-868.054,1.954,0.53,129.1,,,0.00,0.00,0.00
110,181.73,1.557,253.353,1.960,-867.900,1.960,0.42,129.3,,,0.00,0.00,0.00
111,183.28,1.558,254.899,1.966,-867.728,1.966,0.36,131.5,,,0.00,0.00,0.00
112,184.84,1.558,256.443,1.972,-867.538,1.972,0.42,133.2,,,0.00,0.00,0.00
113,186.40,1.560,257.986,1.980,-867.328,1.980,0.53,134.1,,,0.00,0.00,0.00
114,187.96,1.561,259.527,1.990,-867.099,1.990,0.64,135.2,,,0.00,0.00,0.00
115,189.52,1.563,261.067,2.001,-866.851,2.001,0.68,137.1,,,0.00,0.00,0.00
116,191.08,1.565,262.606,2.011,-866.586,2.011,0.67,139.1,,,0.00,0.00,0.00
117,192.65,1.567,264.144,2.021,-866.304,2.021,0.61,141.3,,,0.00,0.00,0.00
118,194.22,1.568,265.681,2.030,-866.006,2.030,0.56,144.0,,,0.00,0.00,0.00
119,195.78,1.571,267.216,2.039,-865.691,2.039,0.56,146.5,,,0.00,0.00,0.00
120,197.35,1.574,268.749,2.048,-865.357,2.048,0.59,146.1,,,0.00,0.00,0.00
121,198.93,1.576,270.282,2.058,-865.006,2.058,0.62,145.5,,,0.00,0.00,0.00
122,200.50,1.579,271.813,2.067,-864.638,2.067,0.56,145.7,,,0.00,0.00,0.00
123,202.08,1.582,273.343,2.074,-864.254,2.074,0.46,147.4,,,0.00,0.00,0.00
124,203.67,1.585,274.872,2.081,-863.853,2.081,0.46,149.6,,,0.00,0.00,0.00
125,205.25,1.589,276.400,2.089,-863.435,2.089,0.49,150.0,,,0.00,0.00,0.00
126,206.84,1.592,277.926,2.098,-862.998,2.098,0.54,150.1,,,0.00,0.00,0.00
127,208.43,1.596,279.450,2.106,-862.544,2.106,0.56,150.3,,,0.00,0.00,0.00
128,210.03,1.599,280.974,2.115,-862.074,2.115,0.55,152.6,,,0.00,0.00,0.00
129,211.63,1.602,282.495,2.124,-861.587,2.124,0.54,156.3,,,0.00,0.00,0.00
130,213.23,1.607,284.015,2.132,-861.083,2.132,0.53,160.6,,,0.00,0.00,0.00
131,214.84,1.610,285.534,2.143,-860.562,2.143,0.65,168.5,,,0.00,0.00,0.00
132,216.45,1.614,287.049,2.155,-860.024,2.155,0.72,176.5,,,0.00,0.00,0.00
133,218.06,1.618,288.564,2.167,-859.471,2.167,0.77,187.5,,,0.00,0.00,0.00
134,219.68,1.620,290.077,2.180,-858.902,2.180,0.82,199.3,,,0.00,0.00,0.00
135,221.30,1.621,291.588,2.192,-858.321,2.192,0.75,216.2,,,0.00,0.00,0.00
136,222.92,1.620,293.095,2.205,-857.728,2.205,0.75,227.0,,,0.00,0.00,0.00
137,224.54,1.617,294.597,2.216,-857.126,2.216,0.71,235.5,,,0.00,0.00,0.00
138,226.16,1.614,296.092,2.228,-856.514,2.228,0.74,234.4,,,0.00,0.00,0.00
139,227.77,1.611,297.581,2.237,-855.894,2.237,0.58,230.5,,,0.00,0.00,0.00
140,229.38,1.607,299.063,2.246,-855.266,2.246,0.52,226.8,,,0.00,0.00,0.00
141,230.99,1.602,300.536,2.253,-854.629,2.253,0.47,229.0,,,0.00,0.00,0.00
142,232.59,1.598,302.001,2.263,-853.983,2.263,0.60,216.8,,,0.00,0.00,0.00
143,234.19,1.593,303.456,2.274,-853.325,2.274,0.68,199.5,,,0.00,0.00,0.00
144,235.78,1.589,304.902,2.283,-852.659,2.283,0.60,179.5,,,0.00,0.00,0.00
145,237.37,1.586,306.339,2.289,-851.985,2.289,0.36,165.5,,,0.00,0.00,0.00
146,238.96,1.579,307.768,2.290,-851.300,2.290,0.08,158.8,,,0.00,0.00,0.00
147,240.54,1.571,309.182,2.295,-850.600,2.295,0.30,161.1,,,0.00,0.00,0.00
148,242.11,1.565,310.577,2.309,-849.882,2.309,0.87,161.1,,,0.00,0.00,0.00
149,243.67,1.560,311.956,2.328,-849.145,2.328,1.23,155.0,,,0.00,0.00,0.00
150,245.23,1.557,313.323,2.346,-848.395,2.346,1.18,151.3,,,0.00,0.00,0.00
151,246.79,1.553,314.681,2.357,-847.637,2.357,0.69,149.9,,,0.00,0.00,0.00
152,248.34,1.547,316.031,2.359,-846.873,2.359,0.12,149.8,,,0.00,0.00,0.00
153,249.89,1.539,317.369,2.357,-846.097,2.357,-0.10,150.0,,,0.00,0.00,0.00
154,251.43,1.530,318.686,2.362,-845.305,2.362,0.32,144.9,,,0.00,0.00,0.00
155,252.96,1.524,319.982,2.375,-844.494,2.375,0.84,131.8,,,0.00,0.00,0.00
156,254.48,1.519,321.261,2.390,-843.668,2.390,1.01,126.0,,,0.00,0.00,0.00
157,256.00,1.515,322.527,2.403,-842.830,2.403,0.80,126.8,,,0.00,0.00,0.00
158,257.52,1.509,323.782,2.408,-841.985,2.408,0.35,129.5,,,0.00,0.00,0.00
159,259.02,1.504,325.025,2.409,-841.130,2.409,0.08,133.2,,,0.00,0.00,0.00
160,260.53,1.651,326.252,2.411,-840.262,2.411,0.14,131.2,,,0.00,0.00,0.00
161,262.18,1.651,327.583,2.417,-839.288,2.417,0.37,119.4,,,0.00,0.00,0.00
162,263.83,1.503,328.899,2.426,-838.294,2.426,0.54,112.0,,,0.00,0.00,0.00
163,265.33,1.507,330.086,2.432,-837.374,2.432,0.40,113.2,,,0.00,0.00,0.00
164,266.84,1.512,331.265,2.438,-836.437,2.438,0.40,117.7,,,0.00,0.00,0.00
165,268.35,1.515,332.435,2.446,-835.481,2.446,0.54,123.6,,,0.00,0.00,0.00
166,269.87,1.515,333.593,2.457,-834.506,2.457,0.72,123.9,,,0.00,0.00,0.00
167,271.38,1.518,334.739,2.467,-833.516,2.467,0.72,123.6,,,0.00,0.00,0.00
168,272.90,1.522,335.875,2.477,-832.512,2.477,0.61,125.2,,,0.00,0.00,0.00
169,274.42,1.526,337.003,2.483,-831.493,2.483,0.43,129.9,,,0.00,0.00,0.00
170,275.95,1.530,338.124,2.489,-830.458,2.489,0.40,135.2,,,0.00,0.00,0.00
171,277.48,1.533,339.234,2.496,-829.406,2.496,0.46,137.3,,,0.00,0.00,0.00
172,279.01,1.535,340.333,2.505,-828.339,2.505,0.58,137.2,,,0.00,0.00,0.00
173,280.55,1.539,341.421,2.514,-827.257,2.514,0.56,140.6,,,0.00,0.00,0.00
174,282.09,1.544,342.501,2.521,-826.162,2.521,0.47,146.8,,,0.00,0.00,0.00
175,283.63,1.548,343.573,2.529,-825.052,2.529,0.49,153.5,,,0.00,0.00,0.00
176,285.18,1.552,344.636,2.537,-823.929,2.537,0.51,155.6,,,0.00,0.00,0.00
177,286.73,1.556,345.691,2.545,-822.791,2.545,0.51,155.0,,,0.00,0.00,0.00
178,288.29,1.559,346.737,2.552,-821.642,2.552,0.46,157.6,,,0.00,0.00,0.00
179,289.85,1.563,347.775,2.558,-820.479,2.558,0.42,162.1,,,0.00,0.00,0.00
180,291.41,1.568,348.804,2.566,-819.303,2.566,0.49,164.7,,,0.00,0.00,0.00
181,292.98,1.572,349.823,2.575,-818.113,2.575,0.56,160.1,,,0.00,0.00,0.00
182,294.55,1.575,350.834,2.583,-816.911,2.583,0.51,155.1,,,0.00,0.00,0.00
183,296.12,1.580,351.836,2.588,-815.696,2.588,0.36,154.4,,,0.00,0.00,0.00
184,297.70,1.584,352.830,2.592,-814.470,2.592,0.21,156.6,,,0.00,0.00,0.00
