index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.578,-131.982,-0.602,-824.384,-0.602,0.00,862.1,,,0.00,0.00,0.00
1,1.58,1.565,-130.437,-0.595,-824.700,-0.595,0.40,1089.7,,,0.00,0.00,0.00
2,3.14,1.545,-128.905,-0.589,-825.011,-0.589,0.42,1241.4,,,0.00,0.00,0.00
3,4.69,1.521,-127.392,-0.582,-825.314,-0.582,0.43,1349.8,,,0.00,0.00,0.00
4,6.21,1.498,-125.902,-0.576,-825.611,-0.576,0.44,1551.5,,,0.00,0.00,0.00
5,7.71,1.478,-124.434,-0.569,-825.903,-0.569,0.45,1753.2,,,0.00,0.00,0.00
6,9.18,1.465,-122.986,-0.563,-826.192,-0.563,0.45,1924.4,,,0.00,0.00,0.00
7,10.65,1.457,-121.551,-0.556,-826.479,-0.556,0.46,2000.0,,,0.00,0.00,0.00
8,12.11,1.454,-120.124,-0.549,-826.765,-0.549,0.47,1937.8,,,0.00,0.00,0.00
9,13.56,1.453,-118.700,-0.542,-827.050,-0.542,0.48,1789.2,,,0.00,0.00,0.00
10,15.01,1.455,-117.276,-0.535,-827.335,-0.535,0.49,1620.5,,,0.00,0.00,0.00
11,16.47,1.457,-115.851,-0.528,-827.619,-0.528,0.49,1457.1,,,0.00,0.00,0.00
12,17.92,1.459,-114.423,-0.521,-827.903,-0.521,0.50,1267.7,,,0.00,0.00,0.00
13,19.38,1.461,-112.993,-0.513,-828.185,-0.513,0.51,1079.3,,,0.00,0.00,0.00
14,20.84,1.462,-111.561,-0.506,-828.464,-0.506,0.51,893.6,,,0.00,0.00,0.00
15,22.31,1.464,-110.126,-0.498,-828.742,-0.498,0.52,758.4,,,0.00,0.00,0.00
16,23.77,1.465,-108.690,-0.490,-829.016,-0.490,0.52,722.0,,,0.00,0.00,0.00
17,25.24,1.466,-107.252,-0.483,-829.288,-0.483,0.52,693.8,,,0.00,0.00,0.00
18,26.70,1.467,-105.813,-0.475,-829.557,-0.475,0.53,667.0,,,0.00,0.00,0.00
19,28.17,1.468,-104.371,-0.467,-829.823,-0.467,0.53,664.8,,,0.00,0.00,0.00
20,29.64,1.469,-102.929,-0.459,-830.086,-0.459,0.53,656.8,,,0.00,0.00,0.00
21,31.11,1.470,-101.484,-0.452,-830.345,-0.452,0.54,627.3,,,0.00,0.00,0.00
22,32.58,1.471,-100.038,-0.443,-830.602,-0.443,0.55,606.1,,,0.00,0.00,0.00
23,34.05,1.472,-98.591,-0.435,-830.856,-0.435,0.56,592.2,,,0.00,0.00,0.00
24,35.52,4.511,-97.142,-0.427,-831.106,-0.427,0.19,591.1,,,0.00,0.00,0.00
25,40.03,1.539,-92.692,-0.398,-831.847,-0.398,1.89,588.4,,,0.00,0.00,0.00
26,41.57,1.540,-91.174,-0.385,-832.090,-0.385,0.82,587.4,,,0.00,0.00,0.00
27,43.11,1.542,-89.654,-0.371,-832.329,-0.371,0.92,582.1,,,0.00,0.00,0.00
28,44.65,1.544,-88.132,-0.358,-832.564,-0.358,0.82,591.8,,,0.00,0.00,0.00
29,46.20,1.545,-86.607,-0.349,-832.797,-0.349,0.59,613.4,,,0.00,0.00,0.00
30,47.74,1.546,-85.081,-0.341,-833.026,-0.341,0.53,620.3,,,0.00,0.00,0.00
31,49.29,1.547,-83.553,-0.332,-833.251,-0.332,0.58,632.7,,,0.00,0.00,0.00
32,50.83,1.549,-82.023,-0.321,-833.471,-0.321,0.70,628.9,,,0.00,0.00,0.00
33,52.38,1.551,-80.491,-0.308,-833.689,-0.308,0.81,626.8,,,0.00,0.00,0.00
34,53.93,1.552,-78.957,-0.298,-833.903,-0.298,0.70,642.0,,,0.00,0.00,0.00
35,55.48,1.552,-77.420,-0.291,-834.114,-0.291,0.40,683.9,,,0.00,0.00,0.00
36,57.04,1.554,-75.883,-0.286,-834.321,-0.286,0.37,739.7,,,0.00,0.00,0.00
37,58.59,1.555,-74.344,-0.279,-834.524,-0.279,0.45,796.8,,,0.00,0.00,0.00
38,60.14,1.557,-72.804,-0.270,-834.724,-0.270,0.57,863.6,,,0.00,0.00,0.00
39,61.70,1.557,-71.262,-0.262,-834.922,-0.262,0.53,974.6,,,0.00,0.00,0.00
