index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.586,277.932,190.999,213.130,190.999,0.00,2000.0,,,0.00,0.00,0.00
1,1.59,1.570,276.348,190.990,213.070,190.990,-0.58,2000.0,,,0.00,0.00,0.00
2,3.16,1.550,274.779,190.981,213.010,190.981,-0.59,1950.6,,,0.00,0.00,0.00
3,4.71,1.529,273.230,190.972,212.951,190.972,-0.60,1869.4,,,0.00,0.00,0.00
4,6.24,1.512,271.702,190.963,212.893,190.963,-0.60,1763.4,,,0.00,0.00,0.00
5,7.75,1.500,270.191,190.954,212.836,190.954,-0.60,1657.3,,,0.00,0.00,0.00
6,9.25,1.495,268.692,190.945,212.781,190.945,-0.60,1549.2,,,0.00,0.00,0.00
7,10.74,1.495,267.199,190.936,212.729,190.936,-0.60,1444.9,,,0.00,0.00,0.00
8,12.24,1.499,265.705,190.927,212.677,190.927,-0.59,1358.0,,,0.00,0.00,0.00
9,13.74,1.506,264.207,190.918,212.628,190.918,-0.59,1314.3,,,0.00,0.00,0.00
10,15.24,1.513,262.702,190.909,212.580,190.909,-0.59,1314.6,,,0.00,0.00,0.00
11,16.76,1.519,261.190,190.901,212.533,190.901,-0.59,1333.5,,,0.00,0.00,0.00
12,18.27,1.525,259.671,190.892,212.489,190.892,-0.59,1350.6,,,0.00,0.00,0.00
13,19.80,1.530,258.147,190.883,212.445,190.883,-0.58,1354.3,,,0.00,0.00,0.00
14,21.33,1.533,256.618,190.874,212.403,190.874,-0.59,1345.4,,,0.00,0.00,0.00
15,22.86,1.536,255.085,190.865,212.363,190.865,-0.59,1310.0,,,0.00,0.00,0.00
16,24.40,1.539,253.550,190.855,212.324,190.855,-0.59,1263.5,,,0.00,0.00,0.00
17,25.94,1.541,252.011,190.846,212.287,190.846,-0.59,1214.1,,,0.00,0.00,0.00
18,27.48,1.543,250.471,190.837,212.253,190.837,-0.60,1154.6,,,0.00,0.00,0.00
19,29.02,1.546,248.928,190.828,212.220,190.828,-0.60,1091.0,,,0.00,0.00,0.00
20,30.57,1.548,247.383,190.818,212.189,190.818,-0.60,1037.2,,,0.00,0.00,0.00
21,32.12,1.550,245.836,190.809,212.160,190.809,-0.60,957.0,,,0.00,0.00,0.00
22,33.67,1.552,244.286,190.800,212.134,190.800,-0.61,877.5,,,0.00,0.00,0.00
23,35.22,1.554,242.735,190.790,212.111,190.790,-0.61,821.9,,,0.00,0.00,0.00
24,36.77,4.774,241.181,190.781,212.090,190.781,-0.20,769.0,,,0.00,0.00,0.00
25,41.55,1.629,236.408,190.751,212.049,190.751,-1.82,725.6,,,0.00,0.00,0.00
26,43.17,1.632,234.779,190.741,212.044,190.741,-0.63,685.1,,,0.00,0.00,0.00
27,44.81,1.634,233.147,190.731,212.043,190.731,-0.62,649.4,,,0.00,0.00,0.00
28,46.44,1.636,231.514,190.721,212.046,190.721,-0.62,647.0,,,0.00,0.00,0.00
29,48.08,1.638,229.878,190.710,212.053,190.710,-0.62,650.6,,,0.00,0.00,0.00
30,49.71,1.641,228.240,190.700,212.064,190.700,-0.62,641.0,,,0.00,0.00,0.00
31,51.35,1.643,226.600,190.690,212.079,190.690,-0.62,630.3,,,0.00,0.00,0.00
32,53.00,1.645,224.957,190.679,212.099,190.679,-0.63,619.9,,,0.00,0.00,0.00
33,54.64,1.647,223.312,190.669,212.123,190.669,-0.63,611.1,,,0.00,0.00,0.00
