index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.631,278.394,190.995,214.899,190.995,0.00,1880.7,,,0.00,0.00,0.00
1,1.63,1.625,276.764,190.986,214.872,190.986,-0.57,1738.5,,,0.00,0.00,0.00
2,3.26,1.611,275.139,190.977,214.845,190.977,-0.58,1611.0,,,0.00,0.00,0.00
3,4.87,1.593,273.528,190.967,214.820,190.967,-0.59,1505.6,,,0.00,0.00,0.00
4,6.46,1.574,271.935,190.958,214.796,190.958,-0.59,1354.9,,,0.00,0.00,0.00
5,8.03,1.559,270.362,190.949,214.774,190.949,-0.59,1212.4,,,0.00,0.00,0.00
6,9.59,1.548,268.803,190.940,214.756,190.940,-0.59,1097.2,,,0.00,0.00,0.00
7,11.14,1.542,267.256,190.930,214.740,190.930,-0.59,1098.4,,,0.00,0.00,0.00
8,12.68,1.540,265.714,190.921,214.727,190.921,-0.59,1204.8,,,0.00,0.00,0.00
9,14.22,1.541,264.174,190.912,214.716,190.912,-0.59,1351.4,,,0.00,0.00,0.00
10,15.77,1.544,262.632,190.903,214.707,190.903,-0.60,1512.4,,,0.00,0.00,0.00
11,17.31,1.546,261.089,190.894,214.700,190.894,-0.59,1663.1,,,0.00,0.00,0.00
12,18.85,1.548,259.543,190.885,214.694,190.885,-0.59,1805.5,,,0.00,0.00,0.00
13,20.40,1.550,257.995,190.875,214.689,190.875,-0.60,1920.8,,,0.00,0.00,0.00
14,21.95,1.552,256.445,190.866,214.684,190.866,-0.60,1987.7,,,0.00,0.00,0.00
15,23.51,1.553,254.893,190.857,214.680,190.857,-0.60,2000.0,,,0.00,0.00,0.00
16,25.06,1.554,253.340,190.847,214.676,190.847,-0.60,2000.0,,,0.00,0.00,0.00
17,26.61,1.555,251.786,190.838,214.672,190.838,-0.60,2000.0,,,0.00,0.00,0.00
18,28.17,1.556,250.231,190.829,214.668,190.829,-0.61,2000.0,,,0.00,0.00,0.00
19,29.72,1.557,248.676,190.819,214.665,190.819,-0.61,2000.0,,,0.00,0.00,0.00
20,31.28,1.558,247.119,190.810,214.662,190.810,-0.61,2000.0,,,0.00,0.00,0.00
21,32.84,1.558,245.562,190.800,214.658,190.800,-0.61,2000.0,,,0.00,0.00,0.00
22,34.40,1.559,244.003,190.791,214.655,190.791,-0.61,2000.0,,,0.00,0.00,0.00
23,35.96,1.560,242.444,190.781,214.652,190.781,-0.61,1890.5,,,0.00,0.00,0.00
24,37.52,4.782,240.884,190.772,214.649,190.772,-0.20,1763.3,,,0.00,0.00,0.00
25,42.30,1.629,236.102,190.742,214.643,190.742,-1.84,1622.5,,,0.00,0.00,0.00
26,43.93,1.630,234.474,190.732,214.643,190.732,-0.62,1485.4,,,0.00,0.00,0.00
27,45.56,1.630,232.844,190.721,214.646,190.721,-0.61,1352.1,,,0.00,0.00,0.00
28,47.19,1.631,231.214,190.711,214.650,190.711,-0.62,1231.2,,,0.00,0.00,0.00
29,48.82,1.632,229.583,190.701,214.658,190.701,-0.63,1105.2,,,0.00,0.00,0.00
30,50.45,1.633,227.951,190.691,214.668,190.691,-0.63,1078.5,,,0.00,0.00,0.00
31,52.08,1.634,226.319,190.680,214.681,190.680,-0.63,1052.9,,,0.00,0.00,0.00
32,53.72,1.635,224.685,190.670,214.695,190.670,-0.63,1035.1,,,0.00,0.00,0.00
33,55.35,1.635,223.051,190.660,214.713,190.660,-0.63,1014.5,,,0.00,0.00,0.00
34,56.99,1.636,221.416,190.649,214.733,190.649,-0.64,983.9,,,0.00,0.00,0.00
35,58.62,1.637,219.780,190.639,214.755,190.639,-0.63,939.4,,,0.00,0.00,0.00
36,60.26,1.638,218.143,190.629,214.781,190.629,-0.64,894.2,,,0.00,0.00,0.00
37,61.90,1.639,216.506,190.618,214.810,190.618,-0.64,856.2,,,0.00,0.00,0.00
38,63.54,1.639,214.868,190.607,214.842,190.607,-0.66,830.7,,,0.00,0.00,0.00
39,65.18,1.640,213.229,190.597,214.877,190.597,-0.64,806.7,,,0.00,0.00,0.00
40,66.82,1.641,211.590,190.586,214.915,190.586,-0.65,782.5,,,0.00,0.00,0.00
41,68.46,1.642,209.949,190.576,214.957,190.576,-0.63,761.1,,,0.00,0.00,0.00
42,70.10,1.642,208.309,190.565,215.003,190.565,-0.66,740.7,,,0.00,0.00,0.00
43,71.74,1.643,206.667,190.554,215.052,190.554,-0.66,726.6,,,0.00,0.00,0.00
44,73.38,1.644,205.025,190.543,215.105,190.543,-0.68,717.7,,,0.00,0.00,0.00
45,75.03,1.645,203.382,190.532,215.162,190.532,-0.67,715.8,,,0.00,0.00,0.00
46,76.67,1.645,201.739,190.521,215.223,190.521,-0.67,718.5,,,0.00,0.00,0.00
47,78.32,1.646,200.095,190.510,215.288,190.510,-0.66,719.4,,,0.00,0.00,0.00
48,79.96,1.647,198.450,190.499,215.356,190.499,-0.68,721.5,,,0.00,0.00,0.00
49,81.61,1.648,196.805,190.488,215.428,190.488,-0.68,723.4,,,0.00,0.00,0.00
50,83.26,1.648,195.159,190.476,215.504,190.476,-0.70,722.7,,,0.00,0.00,0.00
51,84.91,1.649,193.513,190.465,215.584,190.465,-0.72,721.8,,,0.00,0.00,0.00
52,86.56,1.650,191.866,190.453,215.667,190.453,-0.73,718.6,,,0.00,0.00,0.00
53,88.21,1.500,190.219,190.441,215.755,190.441,-0.79,713.2,,,0.00,0.00,0.00
54,89.71,1.501,188.721,190.430,215.837,190.430,-0.70,707.8,,,0.00,0.00,0.00
55,91.21,1.502,187.223,190.420,215.923,190.420,-0.68,703.5,,,0.00,0.00,0.00
56,92.71,1.502,185.724,190.410,216.012,190.410,-0.70,702.0,,,0.00,0.00,0.00
57,94.21,1.503,184.225,190.399,216.105,190.399,-0.72,701.9,,,0.00,0.00,0.00
58,95.71,1.503,182.725,190.388,216.200,190.388,-0.74,699.1,,,0.00,0.00,0.00
59,97.22,1.504,181.225,190.377,216.299,190.377,-0.72,692.2,,,0.00,0.00,0.00
60,98.72,1.504,179.725,190.366,216.401,190.366,-0.73,690.9,,,0.00,0.00,0.00
61,100.23,1.505,178.225,190.355,216.507,190.355,-0.74,690.7,,,0.00,0.00,0.00
62,101.73,1.506,176.724,190.343,216.616,190.343,-0.76,692.3,,,0.00,0.00,0.00
63,103.24,1.506,175.223,190.332,216.728,190.332,-0.74,689.6,,,0.00,0.00,0.00
64,104.74,1.507,173.721,190.321,216.843,190.321,-0.71,687.3,,,0.00,0.00,0.00
65,106.25,1.507,172.219,190.311,216.962,190.311,-0.70,684.4,,,0.00,0.00,0.00
66,107.76,1.508,170.717,190.300,217.084,190.300,-0.73,686.7,,,0.00,0.00,0.00
67,109.26,1.508,169.215,190.288,217.210,190.288,-0.75,685.6,,,0.00,0.00,0.00
68,110.77,1.509,167.713,190.277,217.338,190.277,-0.77,686.0,,,0.00,0.00,0.00
69,112.28,1.509,166.210,190.266,217.471,190.266,-0.74,681.1,,,0.00,0.00,0.00
70,113.79,1.510,164.707,190.254,217.606,190.254,-0.74,683.2,,,0.00,0.00,0.00
71,115.30,1.510,163.204,190.243,217.745,190.243,-0.76,685.2,,,0.00,0.00,0.00
72,116.81,1.511,161.700,190.231,217.887,190.231,-0.80,689.3,,,0.00,0.00,0.00
73,118.32,1.511,160.196,190.219,218.033,190.219,-0.82,687.1,,,0.00,0.00,0.00
74,119.83,1.512,158.693,190.206,218.182,190.206,-0.84,684.6,,,0.00,0.00,0.00
75,121.34,1.512,157.188,190.193,218.334,190.193,-0.85,681.1,,,0.00,0.00,0.00
76,122.86,1.513,155.684,190.180,218.490,190.180,-0.89,685.8,,,0.00,0.00,0.00
77,124.37,1.514,154.180,190.166,218.649,190.166,-0.88,693.6,,,0.00,0.00,0.00
78,125.88,1.514,152.675,190.153,218.812,190.153,-0.91,703.6,,,0.00,0.00,0.00
79,127.40,1.515,151.171,190.139,218.978,190.139,-0.91,707.3,,,0.00,0.00,0.00
80,128.91,1.515,149.666,190.124,219.147,190.124,-0.99,705.6,,,0.00,0.00,0.00
81,130.43,1.516,148.161,190.108,219.319,190.108,-1.07,702.9,,,0.00,0.00,0.00
82,131.94,1.516,146.655,190.089,219.495,190.089,-1.20,703.0,,,0.00,0.00,0.00
83,133.46,1.517,145.150,190.070,219.674,190.070,-1.29,690.0,,,0.00,0.00,0.00
84,134.98,1.517,143.644,190.049,219.856,190.049,-1.34,660.8,,,0.00,0.00,0.00
85,136.49,1.518,142.139,190.029,220.042,190.029,-1.34,630.6,,,0.00,0.00,0.00
86,138.01,1.518,140.633,190.009,220.231,190.009,-1.33,605.7,,,0.00,0.00,0.00
