index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.644,247.750,2.531,-29.767,2.531,0.00,2000.0,,,0.00,0.00,0.00
1,1.64,1.635,247.724,2.530,-28.123,2.530,-0.05,2000.0,,,0.00,0.00,0.00
2,3.28,1.619,247.699,2.529,-26.488,2.529,-0.05,2000.0,,,0.00,0.00,0.00
3,4.90,1.599,247.674,2.528,-24.870,2.528,-0.05,2000.0,,,0.00,0.00,0.00
4,6.50,1.581,247.650,2.528,-23.270,2.528,-0.04,2000.0,,,0.00,0.00,0.00
5,8.08,1.567,247.627,2.527,-21.689,2.527,-0.03,2000.0,,,0.00,0.00,0.00
6,9.65,1.558,247.605,2.527,-20.123,2.527,-0.01,2000.0,,,0.00,0.00,0.00
7,11.20,1.554,247.583,2.527,-18.565,2.527,0.01,2000.0,,,0.00,0.00,0.00
8,12.76,1.555,247.563,2.528,-17.011,2.528,0.04,2000.0,,,0.00,0.00,0.00
9,14.31,1.557,247.543,2.529,-15.456,2.529,0.07,2000.0,,,0.00,0.00,0.00
10,15.87,1.560,247.524,2.530,-13.900,2.530,0.10,2000.0,,,0.00,0.00,0.00
11,17.43,1.562,247.505,2.532,-12.340,2.532,0.13,2000.0,,,0.00,0.00,0.00
12,18.99,1.563,247.487,2.535,-10.778,2.535,0.16,2000.0,,,0.00,0.00,0.00
13,20.55,1.563,247.468,2.538,-9.215,2.538,0.19,2000.0,,,0.00,0.00,0.00
14,22.12,1.561,247.450,2.541,-7.652,2.541,0.22,2000.0,,,0.00,0.00,0.00
15,23.68,1.559,247.432,2.545,-6.091,2.545,0.24,2000.0,,,0.00,0.00,0.00
16,25.24,1.556,247.414,2.549,-4.532,2.549,0.26,2000.0,,,0.00,0.00,0.00
17,26.79,1.553,247.395,2.553,-2.976,2.553,0.27,2000.0,,,0.00,0.00,0.00
18,28.35,1.550,247.377,2.558,-1.423,2.558,0.27,2000.0,,,0.00,0.00,0.00
19,29.90,1.546,247.358,2.562,0.126,2.562,0.26,2000.0,,,0.00,0.00,0.00
20,31.44,1.543,247.340,2.565,1.672,2.565,0.25,2000.0,,,0.00,0.00,0.00
21,32.99,1.539,247.321,2.569,3.214,2.569,0.22,2000.0,,,0.00,0.00,0.00
22,34.53,1.535,247.302,2.572,4.753,2.572,0.20,2000.0,,,0.00,0.00,0.00
23,36.06,1.532,247.283,2.575,6.288,2.575,0.17,2000.0,,,0.00,0.00,0.00
24,37.59,4.662,247.264,2.577,7.819,2.577,0.05,2000.0,,,0.00,0.00,0.00
25,42.25,1.576,247.207,2.576,12.481,2.576,-0.07,2000.0,,,0.00,0.00,0.00
26,43.83,1.572,247.188,2.573,14.057,2.573,-0.14,2000.0,,,0.00,0.00,0.00
27,45.40,1.568,247.170,2.573,15.628,2.573,-0.04,2000.0,,,0.00,0.00,0.00
28,46.97,1.564,247.152,2.573,17.196,2.573,0.05,2000.0,,,0.00,0.00,0.00
29,48.53,1.561,247.135,2.574,18.759,2.574,0.06,2000.0,,,0.00,0.00,0.00
30,50.09,1.556,247.117,2.574,20.320,2.574,-0.04,2000.0,,,0.00,0.00,0.00
31,51.65,1.552,247.099,2.572,21.876,2.572,-0.09,2000.0,,,0.00,0.00,0.00
32,53.20,1.549,247.081,2.572,23.428,2.572,-0.02,2000.0,,,0.00,0.00,0.00
33,54.75,1.545,247.063,2.573,24.976,2.573,0.05,2000.0,,,0.00,0.00,0.00
