index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.399,-67.378,5.298,-102.880,5.298,0.00,1567.7,,,0.00,0.00,0.00
1,1.40,1.402,-68.084,5.298,-104.088,5.298,0.04,1383.7,,,0.00,0.00,0.00
2,2.80,1.401,-68.791,5.299,-105.298,5.299,0.03,1241.9,,,0.00,0.00,0.00
3,4.20,1.401,-69.500,5.299,-106.506,5.299,0.01,1132.4,,,0.00,0.00,0.00
4,5.60,1.401,-70.210,5.299,-107.714,5.299,-0.01,911.6,,,0.00,0.00,0.00
5,7.00,1.401,-70.923,5.299,-108.919,5.299,-0.03,692.5,,,0.00,0.00,0.00
6,8.40,1.401,-71.639,5.298,-110.123,5.298,-0.05,568.4,,,0.00,0.00,0.00
7,9.80,1.401,-72.358,5.297,-111.325,5.297,-0.08,524.2,,,0.00,0.00,0.00
8,11.20,1.401,-73.081,5.295,-112.524,5.295,-0.10,534.3,,,0.00,0.00,0.00
9,12.61,1.401,-73.808,5.294,-113.721,5.294,-0.11,590.8,,,0.00,0.00,0.00
10,14.01,1.401,-74.538,5.292,-114.916,5.292,-0.12,699.3,,,0.00,0.00,0.00
11,15.41,1.401,-75.271,5.291,-116.110,5.291,-0.11,889.9,,,0.00,0.00,0.00
12,16.81,1.401,-76.006,5.289,-117.302,5.289,-0.10,1108.9,,,0.00,0.00,0.00
13,18.21,1.401,-76.743,5.288,-118.493,5.288,-0.08,1321.8,,,0.00,0.00,0.00
14,19.61,1.401,-77.482,5.287,-119.683,5.287,-0.05,1524.3,,,0.00,0.00,0.00
15,21.01,1.401,-78.221,5.287,-120.872,5.287,-0.02,1707.4,,,0.00,0.00,0.00
16,22.41,1.401,-78.961,5.287,-122.062,5.287,0.01,1860.5,,,0.00,0.00,0.00
17,23.81,1.401,-79.702,5.288,-123.250,5.288,0.03,1969.8,,,0.00,0.00,0.00
18,25.21,1.401,-80.442,5.288,-124.439,5.288,0.05,2000.0,,,0.00,0.00,0.00
19,26.61,1.401,-81.183,5.289,-125.628,5.289,0.06,2000.0,,,0.00,0.00,0.00
20,28.01,1.401,-81.924,5.290,-126.816,5.290,0.07,2000.0,,,0.00,0.00,0.00
21,29.41,1.401,-82.665,5.291,-128.005,5.291,0.06,2000.0,,,0.00,0.00,0.00
22,30.81,1.401,-83.406,5.292,-129.193,5.292,0.05,2000.0,,,0.00,0.00,0.00
