index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.554,-206.929,-8.408,414.003,-8.408,0.00,1744.3,,,0.00,0.00,0.00
1,1.55,1.547,-206.822,-8.401,412.453,-8.401,0.47,1598.0,,,0.00,0.00,0.00
2,3.10,1.535,-206.715,-8.393,410.909,-8.393,0.48,1479.8,,,0.00,0.00,0.00
3,4.64,1.520,-206.607,-8.386,409.378,-8.386,0.48,1388.1,,,0.00,0.00,0.00
4,6.16,1.506,-206.498,-8.379,407.862,-8.379,0.48,1224.9,,,0.00,0.00,0.00
5,7.66,1.497,-206.389,-8.372,406.360,-8.372,0.49,1067.3,,,0.00,0.00,0.00
6,9.16,1.492,-206.277,-8.364,404.868,-8.364,0.49,966.4,,,0.00,0.00,0.00
7,10.65,1.492,-206.163,-8.357,403.381,-8.357,0.49,943.2,,,0.00,0.00,0.00
8,12.14,1.495,-206.046,-8.350,401.894,-8.350,0.49,975.9,,,0.00,0.00,0.00
9,13.64,1.500,-205.927,-8.342,400.404,-8.342,0.50,1054.8,,,0.00,0.00,0.00
10,15.14,1.505,-205.805,-8.335,398.910,-8.335,0.50,1168.5,,,0.00,0.00,0.00
11,16.64,1.509,-205.680,-8.327,397.410,-8.327,0.50,1322.9,,,0.00,0.00,0.00
12,18.15,1.513,-205.554,-8.319,395.906,-8.319,0.51,1480.5,,,0.00,0.00,0.00
13,19.66,1.515,-205.425,-8.312,394.399,-8.312,0.51,1622.2,,,0.00,0.00,0.00
14,21.18,1.517,-205.295,-8.304,392.890,-8.304,0.51,1750.7,,,0.00,0.00,0.00
15,22.70,1.518,-205.164,-8.296,391.378,-8.296,0.51,1859.0,,,0.00,0.00,0.00
16,24.21,1.519,-205.031,-8.288,389.866,-8.288,0.51,1938.9,,,0.00,0.00,0.00
17,25.73,1.519,-204.897,-8.281,388.353,-8.281,0.51,1991.2,,,0.00,0.00,0.00
18,27.25,1.520,-204.763,-8.273,386.840,-8.273,0.51,2000.0,,,0.00,0.00,0.00
19,28.77,1.520,-204.628,-8.265,385.326,-8.265,0.51,2000.0,,,0.00,0.00,0.00
20,30.29,1.520,-204.492,-8.257,383.812,-8.257,0.51,2000.0,,,0.00,0.00,0.00
