index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.612,-55.066,0.574,25.214,0.574,0.00,2000.0,,,0.00,0.00,0.00
1,1.61,1.608,-56.677,0.593,25.190,0.593,1.19,2000.0,,,0.00,0.00,0.00
2,3.22,1.596,-58.285,0.612,25.165,0.612,1.20,2000.0,,,0.00,0.00,0.00
3,4.82,1.580,-59.880,0.631,25.141,0.631,1.21,2000.0,,,0.00,0.00,0.00
4,6.40,1.565,-61.460,0.650,25.116,0.650,1.21,2000.0,,,0.00,0.00,0.00
5,7.96,1.553,-63.025,0.669,25.092,0.669,1.21,2000.0,,,0.00,0.00,0.00
6,9.51,1.545,-64.577,0.688,25.069,0.688,1.21,2000.0,,,0.00,0.00,0.00
7,11.06,1.542,-66.122,0.707,25.046,0.707,1.21,2000.0,,,0.00,0.00,0.00
8,12.60,1.543,-67.663,0.725,25.023,0.725,1.20,2000.0,,,0.00,0.00,0.00
9,14.14,1.546,-69.206,0.743,25.001,0.743,1.19,2000.0,,,0.00,0.00,0.00
10,15.69,1.549,-70.752,0.762,24.978,0.762,1.19,2000.0,,,0.00,0.00,0.00
11,17.24,1.553,-72.301,0.780,24.956,0.780,1.18,2000.0,,,0.00,0.00,0.00
12,18.79,1.556,-73.853,0.798,24.933,0.798,1.17,2000.0,,,0.00,0.00,0.00
13,20.35,1.558,-75.409,0.816,24.911,0.816,1.15,2000.0,,,0.00,0.00,0.00
14,21.90,1.560,-76.967,0.834,24.888,0.834,1.14,2000.0,,,0.00,0.00,0.00
15,23.46,1.561,-78.526,0.852,24.864,0.852,1.13,2000.0,,,0.00,0.00,0.00
16,25.03,1.562,-80.087,0.869,24.841,0.869,1.11,2000.0,,,0.00,0.00,0.00
17,26.59,1.563,-81.648,0.886,24.817,0.886,1.10,2000.0,,,0.00,0.00,0.00
18,28.15,1.563,-83.211,0.903,24.792,0.903,1.08,2000.0,,,0.00,0.00,0.00
19,29.71,1.564,-84.774,0.920,24.767,0.920,1.06,2000.0,,,0.00,0.00,0.00
20,31.28,1.565,-86.337,0.936,24.741,0.936,1.05,2000.0,,,0.00,0.00,0.00
21,32.84,1.565,-87.902,0.952,24.715,0.952,1.03,2000.0,,,0.00,0.00,0.00
22,34.41,1.566,-89.467,0.968,24.688,0.968,1.02,2000.0,,,0.00,0.00,0.00
23,35.97,1.567,-91.033,0.984,24.661,0.984,1.00,2000.0,,,0.00,0.00,0.00
24,37.54,4.802,-92.599,0.999,24.633,0.999,0.32,2000.0,,,0.00,0.00,0.00
25,42.34,1.635,-97.400,1.046,24.542,1.046,2.87,2000.0,,,0.00,0.00,0.00
