index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.678,-241.358,19.053,-621.727,19.053,0.00,2000.0,,,0.00,0.00,0.00
1,1.68,1.664,-242.296,19.083,-623.118,19.083,1.79,2000.0,,,0.00,0.00,0.00
2,3.34,1.638,-243.226,19.113,-624.497,19.113,1.80,2000.0,,,0.00,0.00,0.00
3,4.98,1.604,-244.142,19.142,-625.854,19.142,1.81,1980.6,,,0.00,0.00,0.00
4,6.58,1.567,-245.039,19.170,-627.183,19.170,1.81,1926.8,,,0.00,0.00,0.00
5,8.15,1.532,-245.915,19.198,-628.483,19.198,1.81,1863.3,,,0.00,0.00,0.00
6,9.68,1.503,-246.770,19.225,-629.753,19.225,1.80,1836.6,,,0.00,0.00,0.00
7,11.19,1.481,-247.608,19.251,-631.001,19.251,1.79,1757.3,,,0.00,0.00,0.00
8,12.67,1.465,-248.433,19.277,-632.230,19.277,1.78,1743.8,,,0.00,0.00,0.00
9,14.13,1.454,-249.247,19.303,-633.447,19.303,1.77,1743.8,,,0.00,0.00,0.00
10,15.59,1.448,-250.055,19.329,-634.656,19.329,1.77,1763.2,,,0.00,0.00,0.00
11,17.03,1.445,-250.858,19.354,-635.860,19.354,1.76,1817.0,,,0.00,0.00,0.00
12,18.48,1.444,-251.658,19.380,-637.062,19.380,1.76,1880.5,,,0.00,0.00,0.00
13,19.92,1.444,-252.457,19.405,-638.264,19.405,1.76,1907.2,,,0.00,0.00,0.00
14,21.37,1.445,-253.255,19.430,-639.466,19.430,1.76,1986.5,,,0.00,0.00,0.00
15,22.81,1.446,-254.054,19.456,-640.670,19.456,1.76,2000.0,,,0.00,0.00,0.00
16,24.26,1.448,-254.853,19.481,-641.875,19.481,1.76,2000.0,,,0.00,0.00,0.00
17,25.71,1.451,-255.653,19.507,-643.081,19.507,1.77,2000.0,,,0.00,0.00,0.00
18,27.16,1.454,-256.454,19.533,-644.290,19.533,1.77,2000.0,,,0.00,0.00,0.00
19,28.61,1.456,-257.257,19.559,-645.501,19.559,1.77,2000.0,,,0.00,0.00,0.00
20,30.07,1.459,-258.061,19.584,-646.715,19.584,1.77,2000.0,,,0.00,0.00,0.00
21,31.53,1.462,-258.867,19.610,-647.930,19.610,1.77,2000.0,,,0.00,0.00,0.00
22,32.99,1.465,-259.675,19.636,-649.149,19.636,1.77,2000.0,,,0.00,0.00,0.00
23,34.45,1.469,-260.484,19.662,-650.370,19.662,1.76,2000.0,,,0.00,0.00,0.00
