index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.531,2184.473,72.949,-2468.931,72.949,0.00,995.3,,,0.00,0.00,0.00
1,1.53,1.528,2184.110,73.079,-2467.463,73.079,8.55,868.0,,,0.00,0.00,0.00
2,3.06,1.525,2183.747,73.209,-2465.998,73.209,8.50,739.3,,,0.00,0.00,0.00
3,4.58,1.543,2183.410,73.337,-2464.529,73.337,8.28,647.3,,,0.00,0.00,0.00
4,6.13,1.522,2183.073,73.467,-2463.042,73.467,8.54,436.0,,,0.00,0.00,0.00
5,7.65,1.522,2182.747,73.595,-2461.574,73.595,8.40,221.0,,,0.00,0.00,0.00
6,9.17,1.519,2182.444,73.720,-2460.100,73.720,8.22,222.3,,,0.00,0.00,0.00
7,10.69,1.554,2182.165,73.843,-2458.626,73.843,7.93,137.0,,,0.00,0.00,0.00
8,12.25,1.529,2181.895,73.969,-2457.113,73.969,8.27,96.8,,,0.00,0.00,0.00
9,13.77,1.537,2181.651,74.088,-2455.621,74.088,7.70,146.3,,,0.00,0.00,0.00
10,15.31,1.517,2181.429,74.211,-2454.118,74.211,8.14,408.3,,,0.00,0.00,0.00
11,16.83,1.544,2181.244,74.324,-2452.629,74.324,7.34,477.3,,,0.00,0.00,0.00
12,18.37,1.556,2181.086,74.441,-2451.112,74.441,7.49,533.7,,,0.00,0.00,0.00
13,19.93,1.540,2180.931,74.562,-2449.582,74.562,7.87,676.5,,,0.00,0.00,0.00
14,21.47,1.518,2180.777,74.678,-2448.068,74.678,7.64,821.8,,,0.00,0.00,0.00
15,22.98,1.529,2180.622,74.795,-2446.575,74.795,7.62,894.8,,,0.00,0.00,0.00
16,24.51,1.535,2180.460,74.907,-2445.073,74.907,7.32,905.0,,,0.00,0.00,0.00
17,26.05,1.534,2180.296,75.021,-2443.562,75.021,7.42,715.3,,,0.00,0.00,0.00
